Year,GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),"Population, total",Urban population (% of total),Population growth (annual %),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Access to electricity (% of population),Fossil fuel energy consumption (% of total),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita),Total greenhouse gas emissions (per capita),Demand (TWh),Country
2024-01-01,1304310226886.3948,4691.187424287184,40.14744402232901,21.472716795670486,0.7468239595930013,282234694.26931584,58.75186483634358,0.8048097126164675,801.575693439941,1136.4901553134468,102.05038140641767,62.182941366991,72.02735228873966,146.01564003912242,17.18841906219682,2.167980374108238,3.9167241686691217,350.62778389835205,Indonesia
2025-01-01,1195300498502.9507,4584.4801602688,41.93072192890874,23.404480234077198,-2.2551459496147563,284003867.3329908,58.856705782552424,0.6725336448588038,816.1218852783807,1146.2593768864963,104.43033741777785,61.3159042447877,71.1166199145176,146.3310516269143,19.034141565951753,1.9518202424531246,3.618749653616927,367.0663131603211,Indonesia
2026-01-01,1194106077710.9658,4337.04509326168,39.30649701161638,21.89299672024103,-1.0375253291917466,283836517.35213166,59.11938896601066,0.6319354987379011,884.9078928367665,1218.6905287761504,103.48123904076515,64.08006034896025,72.6673452519316,150.52767313586267,18.744486181279804,1.9395987462539874,3.6142010416736365,381.17037318933933,Indonesia
2027-01-01,1174731588173.3374,3906.3855325286536,34.83831132694572,20.733303964266483,-1.9926147413516817,284482681.7673909,59.250284334691834,0.670977197421649,877.9830077321318,1294.514894740307,100.98082452420188,64.78641296585114,75.63266494815127,127.38533330440379,17.32996743863348,2.0975408163612466,3.8379947209181386,384.94457136959306,Indonesia
2028-01-01,1213431205536.9072,3757.0251787397465,33.45537542436286,22.2229194211801,-2.8779826740441887,284481750.1799694,59.09314865106103,0.6222149535028707,799.343420835668,1393.858120122345,102.46232695881861,61.6377885263859,83.29055166437129,158.61414737120487,17.362711418051994,2.1978809101438483,3.917066543496116,382.37166701778074,Indonesia
2029-01-01,1088263258983.4729,3718.41652032999,36.235137744872674,24.220476331016076,-3.907348971699899,285582616.88065815,58.985681912093504,0.49401050852969275,780.376982322892,1419.6331962659353,101.24335187775772,60.02820129862319,88.02968806708544,141.85475885705117,19.806739049206477,1.9775590008460822,3.6585944132645927,387.3366437290685,Indonesia
2030-01-01,1077740807134.8545,3777.7264142606937,37.506156128900756,23.626920370843113,-1.5898242302000278,284980798.3827328,59.225687198982804,0.37122214634425177,853.5791772996372,1394.3786526316733,99.9147714889986,63.435946739475334,95.59877442305705,101.91713558699823,21.5186785317289,2.159833396232848,3.944298157525459,402.55749921130933,Indonesia
2031-01-01,1028584525176.3391,3341.710827912483,34.82328224212109,22.534130235622378,-0.2933598926890719,284801521.0133388,59.44511342613344,0.36990999172544126,850.1320115540669,1399.3200448367609,97.02167449378264,64.88766038572149,100.0,47.722424880994886,20.668501122879707,2.402674590095889,4.227183937846788,394.015026338139,Indonesia
2032-01-01,1072956923146.1099,3153.443333672094,34.92029582284658,23.869847573315905,-2.745212810031907,285437496.3607945,59.58478182974461,0.3159793227087363,781.0245426509342,1358.329616924669,97.05495232927456,62.86543833087937,100.0,54.5360070047014,21.213056579569056,2.422569479820273,4.154632493652877,386.15942221255125,Indonesia
2033-01-01,1132861967518.915,3302.138652175357,40.573246018300594,26.097990965934972,-2.972806887916086,285234287.7541908,59.6456010550058,0.21869977841282007,729.1066832769505,1307.3786708858079,98.13138262393326,59.95855296795757,100.0,89.15047984838374,20.663201714400067,2.08367679833436,3.709865722148225,382.82844419679407,Indonesia
2034-01-01,1207798816430.5098,3923.517152386678,45.59737996263043,25.703986190957476,-2.8157481560707103,285133497.4304796,59.92057983948432,0.2207333455545626,788.2338871246274,1191.2206070787852,99.46299512544616,61.981269329517,100.0,31.06244581152876,22.328078185157853,2.1449264096885265,3.9473078769778485,412.87019853486606,Indonesia
2035-01-01,1308096246231.4878,4170.4002890928505,43.47426962521105,25.12785299693928,-0.6739479953847367,283078396.2137376,60.01116387149867,0.4092649778213733,786.9696629965595,1172.203202770682,100.73211838203733,62.358901727019514,100.0,6.911550809183524,21.988980737366955,2.4471018703052216,4.399168377952474,425.2356388474584,Indonesia
