Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,18.570847203907597,17.00793742618886,20.142357633975056
2025-12-31,18.121587841248267,16.532238687985952,19.539041074245084
2026-12-31,17.606462701174102,15.947249779719174,19.172217752436527
2027-12-31,17.025953465735284,15.448262444337606,18.62998647031932
2028-12-31,17.748655210574192,16.241034965941044,19.320898896769158
2029-12-31,17.299395847912532,15.697979782052307,18.92742525052542
2030-12-31,16.784270707840534,15.077968122298751,18.35188635838512
2031-12-31,16.203761472395446,14.492065177000157,17.91459462287808
2032-12-31,16.926463217238307,15.209971207848959,18.719401191307593
2033-12-31,16.47720385458165,14.779348532434463,18.29556200175657
2034-12-31,15.962078714502091,14.02727216681593,17.867277632481926
