Year,GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),"Population, total",Urban population (% of total),Population growth (annual %),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Access to electricity (% of population),Fossil fuel energy consumption (% of total),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita),Total greenhouse gas emissions (per capita),Demand (TWh),JanEraMean,FebEraMean,MarEraMean,AprEraMean,MayEraMean,JunEraMean,JulEraMean,AugEraMean,SepEraMean,OctEraMean,NovEraMean,DecEraMean,Country
2010,"$208,000,000,000.00 ",2310,32.33956,21.9192,0.5137,9.63E+07,45.332,2.04795,419.33093,622.2108,85.5,60.11117,25,87.86247,23.02843,0.88175,1.68538,67.73,,,,,,,,,,,,,Philippines
2011,"$234,000,000,000.00 ",2450,31.33868,21.70433,0.85696,9.82E+07,45.522,1.96474,413.91648,625.92232,87.2,59.88099,29,97.77023,20.2762,0.86072,1.66479,69.15,,,,,,,,,,,,,Philippines
2012,"$262,000,000,000.00 ",2780,31.39949,21.32857,1.22763,1.00E+08,45.712,1.94226,431.78937,644.47886,87.1,59.4838,30.8,104.02523,21.8352,0.89322,1.68401,72.89,,,,,,,,,,,,,Philippines
2013,"$284,000,000,000.00 ",3060,30.77545,20.4345,1.31643,1.02E+08,45.903,1.87972,438.83582,661.51473,87.5,61.41214,32.7,103.13286,22.74026,0.9548,1.75221,75.23,,,,,,,,,,,,,Philippines
2014,"$297,000,000,000.00 ",3220,31.04744,20.57508,1.92938,1.04E+08,46.093,1.64283,459.42456,674.51032,89.8,62.4349,34.7,109.87005,20.33688,1.00214,1.79695,77.23,,,,,,,,,,,,,Philippines
2015,"$306,000,000,000.00 ",3280,30.48195,19.92802,1.84018,1.05E+08,46.284,1.47875,,,89.1,,36.9,114.37107,19.70793,1.07453,1.86175,82.4,,,,,,,,,,,,,Philippines
2016,"$319,000,000,000.00 ",3350,30.28592,19.5903,2.59851,1.07E+08,46.475,1.34191,,,92,,39.2,114.51403,19.90697,1.1362,1.94857,90.79,,,,,,,,,,,,,Philippines
2017,"$328,000,000,000.00 ",3440,30.12655,19.5002,3.12239,1.08E+08,46.682,1.2883,,,93,,41.6,112.39798,18.3327,1.25437,2.09193,94.36,,,,,,,,,,,,,Philippines
2018,"$347,000,000,000.00 ",3610,30.56374,19.09825,2.86834,1.09E+08,46.907,1.23686,,,94.2,,44.1,123.97574,20.58851,1.29093,2.12244,99.74,,,,,,,,,,,,,Philippines
2019,"$377,000,000,000.00 ",3760,30.32751,18.51645,2.30117,1.11E+08,47.149,1.21616,,,95.3,,43.0266,151.58653,21.52544,1.33475,2.16736,106.03,,,,,,,,,,,,,Philippines
2020,"$362,000,000,000.00 ",3350,28.39992,17.65818,1.88586,1.12E+08,47.408,1.14551,,,96.4,,53.7649,133.3257,20.28874,1.21162,2.04628,101.75,,,,,,,,,,,,,Philippines
2021,"$394,000,000,000.00 ",3570,28.88981,17.64008,3.04079,1.13E+08,47.684,0.90566,,,97.5,,63.4019,143.43587,,1.28723,2.12564,105.75,,,,,,,,,,,,,Philippines
2022,"$404,000,000,000.00 ",4010,29.22124,17.22938,2.34751,1.14E+08,47.977,0.76048,,,94.8,,75.2111,144.04282,,1.32181,2.14563,111.52,,,,,,,,,,,,,Philippines
2023,"$437,000,000,000.00 ",4320,28.18069,16.21798,2.08541,1.15E+08,48.287,0.81,,,,,,,,1.40384,2.22948,111.52,,,,,,,,,,,,,Philippines
2000,"$96,100,000,000.00 ",23680,32.4585,25.86149,16.14889,4027887,100,1.73204,4634.72585,7575.43595,100,98.91781,36,67.77676,19.79997,11.30104,14.21214,31.67,,,,,,,,,,,,,Singapore
2001,"$89,800,000,000.00 ",22130,30.37966,23.3947,18.93986,4138012,100,2.69736,5145.88575,7516.1696,100,98.16821,41.6704,72.58809,19.31426,11.09388,14.20192,33.06,,,,,,,,,,,,,Singapore
2002,"$92,500,000,000.00 ",22000,30.74568,24.73764,6.65367,4175950,100,0.91264,5065.98451,7756.31892,100,98.15512,47,79.31921,18.58425,10.828,12.30965,34.66,,,,,,,,,,,,,Singapore
2003,"$97,600,000,000.00 ",23440,30.2248,24.76541,17.46242,4114826,100,-1.47453,6216.73918,8113.58731,100,98.40425,53.8379,84.6344,17.73928,10.31456,12.10481,35.32,,,,,,,,,,,,,Singapore
2004,"$115,000,000,000.00 ",26170,31.88589,27.11937,21.20272,4166664,100,1.25192,7370.65288,8314.32532,100,98.71374,62,93.45022,16.90869,10.68553,12.59298,36.82,,,,,,,,,,,,,Singapore
2005,"$128,000,000,000.00 ",28830,31.40765,27.07676,15.11336,4265762,100,2.35051,5055.96632,8678.16817,100,98.17113,61,100.9198,16.22181,9.78289,11.79836,38.22,,,,,,,,,,,,,Singapore
2006,"$149,000,000,000.00 ",32550,30.8943,26.57801,26.32715,4401365,100,3.12939,5264.39866,8720.02208,100,98.30136,59,106.73156,15.6032,9.53554,11.496,39.49,,,,,,,,,,,,,Singapore
2007,"$181,000,000,000.00 ",36010,28.22577,23.82265,26.16199,4588599,100,4.166,4677.20431,8706.57907,100,98.1287,69.9,127.03785,14.95528,9.44914,11.15081,41.13,,,,,,,,,,,,,Singapore
2008,"$194,000,000,000.00 ",37230,26.41534,20.58566,7.02329,4839396,100,5.32152,5094.13571,8401.0484,100,98.24675,69,132.58096,14.37415,8.86888,10.42512,41.67,,,,,,,,,,,,,Singapore
2009,"$194,000,000,000.00 ",37320,27.01632,20.27338,12.07109,4987573,100,3.01595,4257.77628,8114.36745,100,97.93284,69,137.40185,13.95595,8.77429,10.31496,41.8,,,,,,,,,,,,,Singapore
2010,"$240,000,000,000.00 ",44930,26.63587,20.77383,23.06947,5076732,100,1.77183,5006.62099,8679.99335,100,97.68803,71,143.0129,13.79681,9.63035,11.43484,45.36,,,,,,,,,,,,,Singapore
2011,"$279,000,000,000.00 ",48250,25.25959,19.58255,17.59603,5183688,100,2.0849,5069.17179,8651.75528,100,97.70145,71,147.58175,15.50309,9.9049,11.66125,46,,,,,,,,,,,,,Singapore
2012,"$295,000,000,000.00 ",51710,25.0222,19.11682,18.74352,5312437,100,2.45339,4898.33046,8673.98522,100,96.32909,72,149.92741,16.92236,9.44226,11.02901,46.94,,,,,,,,,,,,,Singapore
2013,"$308,000,000,000.00 ",54470,23.44273,17.63841,20.93448,5399162,100,1.61931,4880.40607,8680.60636,100,94.00616,80.9021,154.03463,18.07666,9.74877,11.48613,47.97,,,,,,,,,,,,,Singapore
2014,"$315,000,000,000.00 ",56380,24.16852,17.99977,21.81849,5469724,100,1.29844,5121.80432,8844.68759,100,90.57887,79.0292,145.47701,17.28169,9.84962,11.68529,49.3,,,,,,,,,,,,,Singapore
2015,"$308,000,000,000.00 ",53160,24.28802,18.08933,22.65418,5535002,100,1.18638,,,100,,79.013,145.71812,17.1833,9.97067,11.87922,50.28,,,,,,,,,,,,,Singapore
2016,"$319,000,000,000.00 ",53310,23.24516,17.47442,20.48652,5607283,100,1.29744,,,100,,84.4523,148.12324,15.90029,9.44912,11.39249,51.59,,,,,,,,,,,,,Singapore
2017,"$343,000,000,000.00 ",54920,23.52506,18.56833,29.76365,5612253,100,0.0886,,,100,,84.4523,145.40583,16.07688,10.1381,12.31288,52.28,,,,,,,,,,,,,Singapore
2018,"$377,000,000,000.00 ",56550,25.39393,20.7285,21.75929,5638676,100,0.4697,,,100,,88.1656,147.36172,15.97686,9.61665,11.89825,52.97,,,,,,,,,,,,,Singapore
2019,"$377,000,000,000.00 ",58810,24.02135,19.36385,28.09499,5703569,100,1.14428,,,100,,88.9493,154.00062,17.07591,9.8013,12.19964,54.14,,,,,,,,,,,,,Singapore
2020,"$349,000,000,000.00 ",55290,23.20869,19.62712,23.1003,5685807,100,-0.3119,,,100,,92.0043,142.89316,13.8692,9.4761,11.97183,53.07,,,,,,,,,,,,,Singapore
2021,"$434,000,000,000.00 ",64970,24.27736,20.28415,31.62074,5453566,100,-4.17034,,,100,,96.9247,147.48042,,10.21158,12.99487,55.79,,,,,,,,,,,,,Singapore
2022,"$498,000,000,000.00 ",66970,23.74661,19.72325,29.8438,5637022,100,3.30862,,,100,,95.9539,156.47905,,9.89125,12.74556,57.1,,,,,,,,,,,,,Singapore
2023,"$501,000,000,000.00 ",70590,22.40036,17.64929,34.94852,5917648,100,4.85832,,,,,94.2863,,,9.64375,12.55399,57.4,,,,,,,,,,,,,Singapore
2000,"$126,000,000,000.00 ",1980,36.66941,28.37545,2.66313,6.30E+07,31.386,1.13127,1147.24405,1446.80465,82.1,78.74346,3.68904,4.84567,40.39123,2.77458,4.66518,98.34,23.92,24.52,26.93,27.55,27.13,26.88,26.79,26.85,26.1,26.14,24.17,24.13,Thailand
2001,"$120,000,000,000.00 ",1960,36.321,27.82677,4.21224,6.37E+07,32.548,1.01585,1168.6854,1502.10976,90.4,81.1944,5.55633,11.86176,40.35065,2.88277,4.81258,103.7,24.84,25.69,26.56,29.68,27.27,27.21,27.11,26.92,26.75,26.34,23.31,23.61,Thailand
2002,"$134,000,000,000.00 ",1980,36.89443,28.51503,2.48815,6.43E+07,33.734,0.96203,1279.99042,1612.59912,91,81.92836,7.53125,27.17096,40.4327,3.03466,4.95301,111.06,23.38,25.81,27.43,28.87,27.74,27.73,27.38,26.61,26.32,26.25,25.29,24.86,Thailand
2003,"$152,000,000,000.00 ",2170,37.91817,29.5805,3.43594,6.49E+07,34.941,0.93195,1373.72755,1705.21238,91.6,82.03147,9.29903,33.3713,40.52813,3.12748,5.14043,118.21,23.08,25.53,26.74,29.06,28.59,27.57,27.33,27.2,26.56,26.39,25.47,22.71,Thailand
2004,"$173,000,000,000.00 ",2520,37.9023,29.41897,3.38947,6.55E+07,36.169,0.89608,1471.23365,1814.4887,92.2,82.0572,10.6773,41.28781,40.52773,3.3776,5.42554,127.25,23.79,24.42,27.98,29.21,27.89,27.26,26.98,27.09,26.61,26.06,25.5,22.62,Thailand
2005,"$189,000,000,000.00 ",2770,38.50521,29.61507,4.33959,6.60E+07,37.411,0.86009,1499.68663,1897.36285,92.8,81.8133,15.026,46.27713,40.32227,3.47146,5.56985,134.3,23.74,26.93,27.25,28.87,28.75,27.87,27.34,27.01,26.71,26.45,25.37,23.05,Thailand
2006,"$222,000,000,000.00 ",3070,39.14686,30.16808,4.02126,6.66E+07,38.673,0.83006,1516.59361,1982.50842,99.1,81.56143,17.1607,60.50325,39.75211,3.49725,5.60272,141.35,23.76,25.94,27.87,28.24,27.34,27.83,27.15,26.86,26.77,26.47,26.02,23.44,Thailand
2007,"$263,000,000,000.00 ",3480,39.43137,30.58745,3.28357,6.71E+07,39.95,0.80004,1568.26753,2051.71517,94.1,81.15234,20.03,79.27064,38.75093,3.54368,5.74731,146.27,23.4,25.45,28.03,28.63,27.4,28.17,27.41,27.11,26.9,25.87,23.77,24.34,Thailand
2008,"$291,000,000,000.00 ",3900,39.47961,30.55473,2.93825,6.76E+07,41.242,0.76816,1598.66547,2071.5373,94.8,80.57079,18.2,91.84432,37.34951,3.53295,5.73815,147.26,23.71,24.06,26.95,28.2,27.06,27.26,26.93,26.89,26.56,26.54,24.24,22.24,Thailand
2009,"$282,000,000,000.00 ",4060,38.6086,29.46214,2.2759,6.81E+07,42.543,0.73854,1581.02756,2062.45996,99,80.13354,20.1,97.25521,35.57863,3.40486,5.67866,147.05,21.78,26.19,27.12,28.34,27.57,27.46,27.01,27.31,26.98,26.7,24.79,23.86,Thailand
2010,"$341,000,000,000.00 ",4490,39.92173,30.93048,4.32321,6.86E+07,43.856,0.67062,1718.30046,2261.21683,99.7,79.99306,22.4,105.06194,33.46905,3.59122,5.95777,163.51,24.61,26.53,27.88,29.98,29.72,28.63,27.65,26.78,26.96,25.95,24.71,23.86,Thailand
2011,"$371,000,000,000.00 ",4840,37.9814,28.99588,0.66709,6.90E+07,44.698,0.62181,1705.6303,2234.47672,99.3,80.19389,23.6699,112.714,29.0592,3.57427,5.91525,162.74,22.63,25.23,24.87,27.4,27.52,27.38,27.02,26.67,26.5,25.97,25.17,22.72,Thailand
2012,"$398,000,000,000.00 ",5400,37.34369,27.97279,3.24456,6.94E+07,45.445,0.61959,1817.44693,2387.30293,99.1,80.16214,26.46,122.92605,31.58863,3.81253,6.14635,177.58,24.17,25.89,27.27,28.4,27.91,27.5,26.92,26.81,26.71,26.7,26.56,25.08,Thailand
2013,"$420,000,000,000.00 ",5580,36.89859,27.58869,3.79126,6.98E+07,46.193,0.58733,1943.1016,2453.52882,99.4,80.667,28.94,134.88199,34.48835,3.95086,6.26323,179.93,23.9,26.53,27.82,29.19,28.67,27.62,26.88,26.81,26.5,25.9,25.56,21.11,Thailand
2014,"$407,000,000,000.00 ",5620,36.76304,27.5735,1.22145,7.02E+07,46.943,0.53013,1919.15336,2474.52278,99.5,79.83902,34.8861,138.78601,29.97054,3.87839,6.0719,183.95,21.57,25.02,27.85,28.71,28.82,28.06,27.35,26.92,26.95,26.36,25.83,23.56,Thailand
2015,"$401,000,000,000.00 ",5560,36.17918,27.37407,2.22469,7.05E+07,47.694,0.46098,,,99.6,,39.3161,146.4441,28.15444,3.96561,6.06923,189.98,22.53,24.89,27.89,28.56,29.27,28.59,27.59,27.36,27.22,26.48,26.5,24.89,Thailand
2016,"$413,000,000,000.00 ",5550,35.58677,27.14424,0.84336,7.09E+07,48.448,0.45127,,,99.9,,47.505,169.48594,30.3986,3.89512,6.07452,198.21,23.87,24.26,28.32,30.92,29.66,27.95,27.21,27.4,26.95,26.86,25.97,24.16,Thailand
2017,"$456,000,000,000.00 ",5800,35.01876,27.01482,1.8155,7.12E+07,49.2,0.42296,,,99.9,,52.8919,171.41478,27.10067,3.89178,6.09058,200.05,24.52,24.99,27.54,28.34,28,27.81,26.88,27.33,27.4,26.51,25.52,23.31,Thailand
2018,"$507,000,000,000.00 ",6430,34.74249,26.71283,2.7128,7.14E+07,49.949,0.30293,,,99.8,,56.8175,175.87778,30.0081,3.84703,6.03558,203.34,24.18,24.65,26.95,27.64,27.74,27.55,27.08,26.78,27.13,26.84,25.89,25.12,Thailand
2019,"$544,000,000,000.00 ",7060,33.59391,25.6216,1.01735,7.15E+07,50.692,0.20461,,,99.9,,66.6524,181.76703,30.38276,3.97694,6.10404,209.17,24.6,26.79,28.33,30.08,29.16,28.52,27.9,27.03,26.92,27.07,25.58,23.36,Thailand
2020,"$500,000,000,000.00 ",6900,33.29072,25.55533,-0.85799,7.16E+07,51.43,0.16654,,,100,,77.8437,162.70433,31.0072,3.83073,6.05405,203.41,25.15,25.86,28.62,29.12,29.74,28.25,28.1,27.26,27.39,25.58,25.57,23.53,Thailand
2021,"$506,000,000,000.00 ",7090,35.04965,27.1676,3.03988,7.17E+07,52.163,0.11976,,,100,,85.2696,168.78232,,3.72928,5.98744,207.75,22.64,25.12,28.18,27.73,28.78,28.09,27.51,27.57,26.68,26.46,25.73,23.22,Thailand
2022,"$496,000,000,000.00 ",7230,35.15209,27.05149,2.3918,7.17E+07,52.889,0.01115,,,99.9,,87.9772,176.31693,,3.84565,6.1684,213.78,24.37,24.85,27.83,27.8,27.27,27.97,27.57,27.08,26.62,25.89,25.92,23.4,Thailand
2023,"$515,000,000,000.00 ",7200,32.88654,24.91145,1.26533,7.17E+07,53.608,-0.04587,,,,,89.5352,,,3.82358,6.14739,224.04,22.94,25.52,27.47,30.17,29.53,28.32,28.08,27.69,27.05,26.98,25.84,25.05,Thailand
2000,"$31,200,000,000.00 ",390,36.73078,,4.16392,7.72E+07,24.374,1.12951,372.45049,296.86078,88.2,46.27349,0.25425,0.99816,27.23326,0.73253,2.12955,26.56,,,,,,,,,,,,,Vietnam
2001,"$32,700,000,000.00 ",410,38.12942,,3.97734,7.80E+07,24.937,1.05124,393.04592,338.14565,88.9,47.91381,1.26565,1.56756,27.27245,0.79609,2.16968,30.61,,,,,,,,,,,,,Vietnam
2002,"$35,100,000,000.00 ",430,38.48668,,3.99269,7.88E+07,25.511,1.02445,424.53256,390.79765,89.1,52.27152,1.855,2.35904,27.37292,0.92743,2.32943,35.8,,,,,,,,,,,,,Vietnam
2003,"$39,600,000,000.00 ",480,39.47001,,3.66601,7.96E+07,26.092,0.99985,441.29029,448.10593,90.3,53.51507,3.78028,3.36542,27.46691,0.97552,2.4133,40.93,,,,,,,,,,,,,Vietnam
2004,"$45,400,000,000.00 ",550,40.20875,,3.54408,8.03E+07,26.683,0.96959,485.04136,500.36737,91,58.26328,7.64241,6.02591,27.48669,1.1438,2.66718,46.2,,,,,,,,,,,,,Vietnam
2005,"$57,600,000,000.00 ",650,38.13114,18.82328,3.3904,8.11E+07,27.281,0.9284,508.72612,589.24644,96.1,60.53286,12.7399,11.53832,27.36451,1.2395,2.79307,52.46,,,,,,,,,,,,,Vietnam
2006,"$66,400,000,000.00 ",740,38.58473,19.38073,3.616,8.22E+07,27.888,1.32258,514.44902,664.44441,96,60.72421,17.2546,22.50396,27.00076,1.25492,2.8385,58.87,,,,,,,,,,,,,Vietnam
2007,"$77,400,000,000.00 ",860,38.51162,19.38041,8.65472,8.36E+07,28.504,1.7678,543.86053,743.63853,93.1,62.72988,20.7554,53.11803,26.3606,1.36624,2.95544,66.79,,,,,,,,,,,,,Vietnam
2008,"$99,100,000,000.00 ",1000,37.0777,18.57966,9.66304,8.52E+07,29.128,1.82746,570.99644,812.61356,93.8,64.56385,23.92,87.47047,25.47349,1.47618,3.03038,74.17,,,,,,,,,,,,,Vietnam
2009,"$106,000,000,000.00 ",1120,37.38819,18.30104,7.16882,8.65E+07,29.762,1.49649,613.73144,912.78029,96.1,66.79639,26.55,113.57616,24.36889,1.62807,3.21081,84.37,,,,,,,,,,,,,Vietnam
2010,"$147,000,000,000.00 ",1370,33.02288,17.13057,5.43474,8.75E+07,30.417,1.1444,673.62445,1028.42426,97.4,70.32818,30.65,127.63861,23.07626,1.79202,3.36586,96.36,,,,,,,,,,,,,Vietnam
2011,"$173,000,000,000.00 ",1630,34.58041,18.69415,4.30487,8.85E+07,31.08,1.15183,665.57717,1107.83167,99,68.49889,35.07,144.10789,20.49058,1.77116,3.35434,105.38,,,,,,,,,,,,,Vietnam
2012,"$196,000,000,000.00 ",1980,35.86023,20.27409,4.27832,8.95E+07,31.752,1.17099,669.49791,1210.23985,97.9,66.9781,36.8,147.44879,21.51164,1.74438,3.31019,116.61,,,,,,,,,,,,,Vietnam
2013,"$214,000,000,000.00 ",2200,35.57515,20.68745,4.16455,9.06E+07,32.429,1.1803,661.6491,1279.38643,98.5,69.82184,38.5,137.07617,23.22749,1.8004,3.36792,126.79,,,,,,,,,,,,,Vietnam
2014,"$233,000,000,000.00 ",2390,35.29857,20.37123,3.94086,9.17E+07,33.115,1.21423,,1424.23212,99.2,,41,149.22713,20.40351,1.9506,3.49682,142.69,,,,,,,,,,,,,Vietnam
2015,"$239,000,000,000.00 ",2460,34.26655,20.96009,4.93191,9.28E+07,33.809,1.23975,,,99.3,,45,130.51549,19.37701,2.16223,3.70667,162.91,,,,,,,,,,,,,Vietnam
2016,"$257,000,000,000.00 ",2560,34.11523,21.48825,4.90089,9.40E+07,34.51,1.25988,,,99.2,,53,129.50148,20.33045,2.38781,3.89988,180.5,,,,,,,,,,,,,Vietnam
2017,"$281,000,000,000.00 ",2680,35.39036,22.62712,5.01149,9.52E+07,35.213,1.2442,,,100,,58.14,127.63192,18.57978,2.42079,3.92202,195.43,,,,,,,,,,,,,Vietnam
2018,"$310,000,000,000.00 ",3020,36.54243,23.36717,4.99828,9.62E+07,35.919,1.10791,,,100,,69.8479,148.17482,20.16302,2.94959,4.47523,218.8,,,,,,,,,,,,,Vietnam
2019,"$334,000,000,000.00 ",3290,36.80314,23.78672,4.82107,9.72E+07,36.628,0.96837,,,99.4,,68.6616,142.2375,20.83179,3.48804,5.00771,238.14,,,,,,,,,,,,,Vietnam
2020,"$347,000,000,000.00 ",3400,36.74371,23.94724,4.55836,9.81E+07,37.34,0.92743,,,99.8,,70.3,143.75222,20.80106,3.58959,5.07158,245.51,,,,,,,,,,,,,Vietnam
2021,"$366,000,000,000.00 ",3540,37.39152,24.45937,4.27315,9.89E+07,38.052,0.86888,,,100,,74.21,138.8655,,3.44777,4.95833,254.43,,,,,,,,,,,,,Vietnam
2022,"$410,000,000,000.00 ",3960,38.17538,24.57957,4.36241,9.97E+07,38.766,0.75076,,,100,,78.59,139.94969,,3.25942,4.75147,267.43,,,,,,,,,,,,,Vietnam
2023,"$430,000,000,000.00 ",4110,37.1201,23.88277,4.30516,1.00E+08,39.48,0.67143,,,,,78.08,,,3.7164,5.22294,278.61,,,,,,,,,,,,,Vietnam
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
