Country,Year,Demand (TWh),Population,GDP(USD),GDP (current US$),Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Fossil fuel energy consumption (% of total),Urban population (% of total),"Population, total",Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter)
Thailand,2009,147.05,68121080,2.81711E+11,2.81711E+11,38.60859889,29.46214007,2.275902241,1581.027562,2062.459961,99,5.913985741,80.13354249,42.543,68121080,20.1,97.25521206,35.5786281
Thailand,2010,163.51,68579447,3.41105E+11,3.41105E+11,39.9217257,30.93047882,4.323209282,1718.300455,2261.216834,99.7,6.344579431,79.99305669,43.856,68579447,22.4,105.0619397,33.46905055
Thailand,2011,162.74,69007208,3.70819E+11,3.70819E+11,37.98139827,28.99588092,0.667087645,1705.630302,2234.476723,99.3,6.944631421,80.19388911,44.698,69007208,23.6699,112.714004,29.05919519
Thailand,2012,177.58,69436098,3.97558E+11,3.97558E+11,37.34369414,27.97278735,3.244564443,1817.446928,2387.302927,99.1,5.695003836,80.16213661,45.445,69436098,26.46,122.9260548,31.5886299
Thailand,2013,179.93,69845114,4.20334E+11,4.20334E+11,36.89858846,27.58869075,3.791264509,1943.101603,2453.528818,99.4,6.067469795,80.66699695,46.193,69845114,28.94,134.8819857,34.48835114
Thailand,2014,183.95,70216367,4.07339E+11,4.07339E+11,36.76304037,27.57350096,1.22145318,1919.153365,2474.522785,99.5,6.111201261,79.83902265,46.943,70216367,34.8861,138.7860081,29.97053846
Thailand,2015,189.98,70540795,4.01296E+11,4.01296E+11,36.17917733,27.3740712,2.22468549,,,99.6,,,47.694,70540795,39.3161,146.4441042,28.15444138
Thailand,2016,198.21,70859841,4.13366E+11,4.13366E+11,35.58676541,27.14423937,0.843364341,,,99.9,,,48.448,70859841,47.505,169.4859395,30.39859962
Thailand,2017,200.05,71160187,4.56357E+11,4.56357E+11,35.01875953,27.01481548,1.815502601,,,99.9,,,49.2,71160187,52.8919,171.4147843,27.10067447
Thailand,2018,203.34,71376079,5.06754E+11,5.06754E+11,34.74248967,26.71283439,2.712798351,,,99.8,,,49.949,71376079,56.8175,175.8777812,30.0080974
Thailand,2019,209.17,71522271,5.43977E+11,5.43977E+11,33.59391051,25.62159641,1.017348776,,,99.9,,,50.692,71522271,66.6524,181.7670258,30.38275655
Thailand,2020,203.41,71641484,5.00462E+11,5.00462E+11,33.29072297,25.55533257,-0.857989527,,,100,,,51.43,71641484,77.8437,162.7043297,31.00720163
Thailand,2021,207.75,71727332,5.06256E+11,5.06256E+11,35.04964694,27.16759949,3.039881536,,,100,,,52.163,71727332,85.2696,168.7823161,
Thailand,2022,213.78,71735329,4.95645E+11,4.95645E+11,35.15209303,27.05149006,2.391795941,,,99.9,,,52.889,71735329,87.9772,176.3169269,
Thailand,2023,224.04,71702435,5.14969E+11,,,,,,,,,,,,,,
Viet Nam,2000,26.56,77154011,31172518403,,,,,,,,,,,,,,
Viet Nam,2001,30.61,77969361,32685198809,,,,,,,,,,,,,,
Viet Nam,2002,35.8,78772224,35064105501,,,,,,,,,,,,,,
Viet Nam,2003,40.93,79563777,39552513232,,,,,,,,,,,,,,
Viet Nam,2004,46.2,80338971,45427854693,,,,,,,,,,,,,,
Viet Nam,2005,52.46,81088313,57633255738,,,,,,,,,,,,,,
Viet Nam,2006,58.87,82167897,66371664817,,,,,,,,,,,,,,
Viet Nam,2007,66.79,83633375,77414425532,,,,,,,,,,,,,,
Viet Nam,2008,74.17,85175788,99130304099,,,,,,,,,,,,,,
Viet Nam,2009,84.37,86460018,1.06015E+11,,,,,,,,,,,,,,
Viet Nam,2010,96.36,87455152,1.47201E+11,,,,,,,,,,,,,,
Viet Nam,2011,105.38,88468314,1.72595E+11,,,,,,,,,,,,,,
Viet Nam,2012,116.61,89510356,1.95591E+11,,,,,,,,,,,,,,
Viet Nam,2013,126.79,90573104,2.13709E+11,,,,,,,,,,,,,,
Viet Nam,2014,142.69,91679578,2.33451E+11,,,,,,,,,,,,,,
Viet Nam,2015,162.91,92823254,2.39258E+11,,,,,,,,,,,,,,
Viet Nam,2016,180.5,94000117,2.57096E+11,,,,,,,,,,,,,,
Viet Nam,2017,195.43,95176977,2.81354E+11,,,,,,,,,,,,,,
Viet Nam,2018,218.8,96237319,3.10106E+11,,,,,,,,,,,,,,
Viet Nam,2019,238.14,97173776,3.34365E+11,,,,,,,,,,,,,,
Viet Nam,2020,245.51,98079191,3.46616E+11,,,,,,,,,,,,,,
Viet Nam,2021,254.43,98935098,3.66475E+11,,,,,,,,,,,,,,
Viet Nam,2022,267.43,99680655,4.10324E+11,,,,,,,,,,,,,,
Viet Nam,2023,278.61,100352192,4.29717E+11,,,,,,,,,,,,,,
