Year,Country,GDP (current US$),GDP (current US$)_Source,GNI per capita,GNI per capita_Source,Industry (% of GDP),Industry (% of GDP)_Source,Manufacturing (% of GDP),Manufacturing (% of GDP)_Source,Foreign direct investment (% of GDP),Foreign direct investment (% of GDP)_Source,"Population, total","Population, total_Source",Urban population (% of total),Urban population (% of total)_Source,Population growth (annual %),Population growth (annual %)_Source,Energy use (kg of oil equivalent per capita),Energy use (kg of oil equivalent per capita)_Source,Electric power consumption (kWh per capita),Electric power consumption (kWh per capita)_Source,Access to electricity (% of population),Access to electricity (% of population)_Source,Fossil fuel energy consumption (% of total),Fossil fuel energy consumption (% of total)_Source,Individuals using the Internet (% of population),Individuals using the Internet (% of population)_Source,Mobile cellular subscriptions (per 100 people),Mobile cellular subscriptions (per 100 people)_Source,PM2.5 air pollution (micrograms per cubic meter),PM2.5 air pollution (micrograms per cubic meter)_Source,CO2 emissions (metric tons per capita),CO2 emissions (metric tons per capita)_Source,Total greenhouse gas emissions (per capita),Total greenhouse gas emissions (per capita)_Source,Demand (TWh),Demand (TWh)_Source,GDP (current US$)_Prophet,GDP (current US$)_Lower_CI,GDP (current US$)_Upper_CI,GNI per capita_Prophet,GNI per capita_Lower_CI,GNI per capita_Upper_CI,Industry (% of GDP)_Prophet,Industry (% of GDP)_Lower_CI,Industry (% of GDP)_Upper_CI,Manufacturing (% of GDP)_Prophet,Manufacturing (% of GDP)_Lower_CI,Manufacturing (% of GDP)_Upper_CI,Foreign direct investment (% of GDP)_Prophet,Foreign direct investment (% of GDP)_Lower_CI,Foreign direct investment (% of GDP)_Upper_CI,"Population, total_Prophet","Population, total_Lower_CI","Population, total_Upper_CI",Urban population (% of total)_Prophet,Urban population (% of total)_Lower_CI,Urban population (% of total)_Upper_CI,Population growth (annual %)_Prophet,Population growth (annual %)_Lower_CI,Population growth (annual %)_Upper_CI,Energy use (kg of oil equivalent per capita)_Prophet,Energy use (kg of oil equivalent per capita)_Lower_CI,Energy use (kg of oil equivalent per capita)_Upper_CI,Electric power consumption (kWh per capita)_Prophet,Electric power consumption (kWh per capita)_Lower_CI,Electric power consumption (kWh per capita)_Upper_CI,Access to electricity (% of population)_Prophet,Access to electricity (% of population)_Lower_CI,Access to electricity (% of population)_Upper_CI,Fossil fuel energy consumption (% of total)_Prophet,Fossil fuel energy consumption (% of total)_Lower_CI,Fossil fuel energy consumption (% of total)_Upper_CI,Individuals using the Internet (% of population)_Prophet,Individuals using the Internet (% of population)_Lower_CI,Individuals using the Internet (% of population)_Upper_CI,Mobile cellular subscriptions (per 100 people)_Prophet,Mobile cellular subscriptions (per 100 people)_Lower_CI,Mobile cellular subscriptions (per 100 people)_Upper_CI,PM2.5 air pollution (micrograms per cubic meter)_Prophet,PM2.5 air pollution (micrograms per cubic meter)_Lower_CI,PM2.5 air pollution (micrograms per cubic meter)_Upper_CI,CO2 emissions (metric tons per capita)_Prophet,CO2 emissions (metric tons per capita)_Lower_CI,CO2 emissions (metric tons per capita)_Upper_CI,Total greenhouse gas emissions (per capita)_Prophet,Total greenhouse gas emissions (per capita)_Lower_CI,Total greenhouse gas emissions (per capita)_Upper_CI,Demand (TWh)_Prophet,Demand (TWh)_Lower_CI,Demand (TWh)_Upper_CI
2000,Malaysia,93800000000.0,Historical,3490.0,Historical,48.32057,Historical,30.86355,Historical,4.03843,Historical,23000000.0,Historical,61.977,Historical,2.3448,Historical,2128.59534,Historical,2774.14274,Historical,98.6,Historical,94.9731,Historical,21.3847,Historical,22.3217,Historical,23.51367,Historical,5.69404,Historical,7.13872,Historical,69.88,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Malaysia,92800000000.0,Historical,3570.0,Historical,46.20269,Historical,29.3364,Historical,0.59703,Historical,23500000.0,Historical,62.922,Historical,2.40351,Historical,2162.61819,Historical,2779.75451,Historical,98.6,Historical,95.17806,Historical,26.696,Historical,31.36878,Historical,23.33079,Historical,5.88304,Historical,7.31011,Historical,75.69,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Malaysia,101000000000.0,Historical,3810.0,Historical,45.11538,Historical,29.2464,Historical,3.16612,Historical,24100000.0,Historical,63.856,Historical,2.41856,Historical,2181.98271,Historical,2832.94534,Historical,98.6,Historical,95.62842,Historical,32.3382,Historical,37.49827,Historical,23.21298,Historical,6.08051,Historical,7.51789,Historical,80.84,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Malaysia,110000000000.0,Historical,4170.0,Historical,46.57866,Historical,29.92867,Historical,2.92094,Historical,24700000.0,Historical,64.78,Historical,2.36625,Historical,2283.09281,Historical,2916.94331,Historical,98.7,Historical,95.99111,Historical,34.9712,Historical,44.96469,Historical,23.10721,Historical,6.34435,Historical,7.87661,Historical,83.11,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Malaysia,125000000000.0,Historical,4720.0,Historical,48.53032,Historical,30.37815,Historical,3.50787,Historical,25300000.0,Historical,65.694,Historical,2.31172,Historical,2399.18486,Historical,2976.54823,Historical,98.7,Historical,96.21647,Historical,42.2523,Historical,57.6752,Historical,22.96051,Historical,6.71601,Historical,8.2859,Historical,95.54,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Malaysia,144000000000.0,Historical,5240.0,Historical,46.36832,Historical,27.54968,Historical,2.73439,Historical,25800000.0,Historical,66.594,Historical,2.26773,Historical,2544.09101,Historical,2857.55524,Historical,98.7,Historical,96.82708,Historical,48.6292,Historical,75.39481,Historical,22.71985,Historical,7.01158,Historical,8.56573,Historical,96.52,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Malaysia,163000000000.0,Historical,5790.0,Historical,46.51566,Historical,27.56609,Historical,4.72716,Historical,26400000.0,Historical,67.483,Historical,2.22705,Historical,2501.71261,Historical,3040.51316,Historical,98.8,Historical,96.69408,Historical,51.638,Historical,73.42193,Historical,22.14597,Historical,7.10771,Historical,8.66938,Historical,101.67,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Malaysia,194000000000.0,Historical,6560.0,Historical,44.596,Historical,26.12258,Historical,4.68685,Historical,27000000.0,Historical,68.36,Historical,2.1735,Historical,2680.5779,Historical,3239.19327,Historical,98.9,Historical,96.94483,Historical,55.7,Historical,86.17481,Historical,21.1585,Historical,7.59084,Historical,9.13337,Historical,106.29,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Malaysia,231000000000.0,Historical,7420.0,Historical,45.10507,Historical,24.56072,Historical,3.28082,Historical,27600000.0,Historical,69.225,Historical,2.09532,Historical,2744.00802,Historical,3246.27524,Historical,99.0,Historical,96.76023,Historical,55.8,Historical,100.17605,Historical,19.9427,Historical,7.84105,Historical,9.3829,Historical,113.35,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Malaysia,202000000000.0,Historical,7500.0,Historical,40.96782,Historical,23.80015,Historical,0.05669,Historical,28100000.0,Historical,70.075,Historical,1.99206,Historical,2555.84478,Historical,3887.4618,Historical,99.3,Historical,96.66435,Historical,55.9,Historical,106.82844,Historical,18.68388,Historical,7.03938,Historical,8.58915,Historical,116.02,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Malaysia,255000000000.0,Historical,8130.0,Historical,40.49893,Historical,23.43378,Historical,4.26865,Historical,28700000.0,Historical,70.912,Historical,1.87041,Historical,2560.80226,Historical,4080.74798,Historical,99.5,Historical,96.89621,Historical,56.3,Historical,117.90172,Historical,17.56734,Historical,7.5229,Historical,8.95307,Historical,124.89,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Malaysia,298000000000.0,Historical,8890.0,Historical,39.82427,Historical,23.3202,Historical,5.07446,Historical,29200000.0,Historical,71.609,Historical,1.75128,Historical,2623.84712,Historical,4030.71953,Historical,99.5,Historical,96.81165,Historical,61.0,Historical,125.62066,Historical,16.55437,Historical,7.48674,Historical,8.87223,Historical,127.43,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Malaysia,314000000000.0,Historical,9980.0,Historical,40.135,Historical,23.13818,Historical,2.82906,Historical,29700000.0,Historical,72.275,Historical,1.7027,Historical,2624.83537,Historical,4251.5834,Historical,99.8,Historical,96.74023,Historical,65.8,Historical,139.32706,Historical,17.91014,Historical,7.41259,Historical,8.78068,Historical,134.17,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Malaysia,323000000000.0,Historical,10590.0,Historical,39.88537,Historical,22.84074,Historical,3.49431,Historical,30200000.0,Historical,72.93,Historical,1.70946,Historical,2909.99247,Historical,4414.68914,Historical,99.6,Historical,96.75188,Historical,57.0575,Historical,142.70873,Historical,18.79542,Historical,7.86252,Historical,9.23295,Historical,141.16,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Malaysia,338000000000.0,Historical,10840.0,Historical,39.92442,Historical,22.87393,Historical,3.14123,Historical,30700000.0,Historical,73.577,Historical,1.71474,Historical,2922.28592,Historical,4526.23729,Historical,99.7,Historical,96.6282,Historical,63.6654,Historical,146.7945,Historical,17.10525,Historical,8.19206,Historical,9.54532,Historical,147.48,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Malaysia,301000000000.0,Historical,10350.0,Historical,38.44967,Historical,22.2933,Historical,3.27094,Historical,31200000.0,Historical,74.213,Historical,1.73319,Historical,,Historical,,Historical,99.9,Historical,,Historical,71.0641,Historical,141.95577,Historical,16.92973,Historical,8.09817,Historical,9.47868,Historical,150.12,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Malaysia,301000000000.0,Historical,9800.0,Historical,37.68327,Historical,21.79695,Historical,4.47131,Historical,31800000.0,Historical,74.84,Historical,1.76731,Historical,,Historical,,Historical,99.9,Historical,,Historical,78.7883,Historical,137.86692,Historical,16.38644,Historical,7.78769,Historical,9.19941,Historical,155.99,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Malaysia,319000000000.0,Historical,9560.0,Historical,38.11472,Historical,21.84616,Historical,2.93582,Historical,32400000.0,Historical,75.447,Historical,1.76466,Historical,,Historical,,Historical,100.0,Historical,,Historical,80.1405,Historical,132.40792,Historical,14.94501,Historical,7.35156,Historical,8.67182,Historical,159.52,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Malaysia,359000000000.0,Historical,10200.0,Historical,38.29144,Historical,21.52816,Historical,2.31459,Historical,32900000.0,Historical,76.036,Historical,1.70175,Historical,,Historical,,Historical,100.0,Historical,,Historical,81.201,Historical,130.9085,Historical,16.65418,Historical,7.72877,Historical,9.0255,Historical,169.09,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Malaysia,365000000000.0,Historical,10750.0,Historical,37.47656,Historical,21.409,Historical,2.50698,Historical,33400000.0,Historical,76.607,Historical,1.59647,Historical,,Historical,,Historical,100.0,Historical,,Historical,84.1871,Historical,135.96108,Historical,17.81975,Historical,7.63166,Historical,8.90794,Historical,176.84,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Malaysia,337000000000.0,Historical,10110.0,Historical,35.93474,Historical,22.23208,Historical,1.20275,Historical,33900000.0,Historical,77.16,Historical,1.33363,Historical,,Historical,,Historical,100.0,Historical,,Historical,89.555,Historical,131.69762,Historical,16.19385,Historical,7.47703,Historical,8.6949,Historical,172.46,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Malaysia,374000000000.0,Historical,10520.0,Historical,37.68269,Historical,23.36317,Historical,5.41626,Historical,34300000.0,Historical,77.696,Historical,1.15251,Historical,,Historical,,Historical,100.0,Historical,,Historical,96.7514,Historical,140.59057,Historical,,Historical,7.5524,Historical,8.74462,Historical,174.27,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Malaysia,408000000000.0,Historical,11610.0,Historical,39.09483,Historical,23.33113,Historical,3.68689,Historical,34700000.0,Historical,78.214,Historical,1.19777,Historical,,Historical,,Historical,100.0,Historical,,Historical,97.3986,Historical,141.29232,Historical,,Historical,7.90715,Historical,9.10172,Historical,182.25,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Malaysia,400000000000.0,Historical,11710.0,Historical,37.66975,Historical,23.01734,Historical,1.98111,Historical,35100000.0,Historical,78.716,Historical,1.23403,Historical,,Historical,,Historical,,Historical,,Historical,97.6927,Historical,,Historical,,Historical,8.06585,Historical,9.26388,Historical,186.66,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Malaysia,379713452800.1011,VAR_Forecast,11209.779644288796,VAR_Forecast,35.02352888163609,VAR_Forecast,22.146011118084218,VAR_Forecast,1.9125121187159364,VAR_Forecast,35318641.6485678,VAR_Forecast,79.09684540395382,VAR_Forecast,1.0817165384294356,VAR_Forecast,2842.8186301412834,VAR_Forecast,4562.289754012631,VAR_Forecast,100.0,VAR_Forecast,96.88427337493744,VAR_Forecast,100.0,VAR_Forecast,149.33302842492117,VAR_Forecast,15.7703501822041,VAR_Forecast,7.781831954044475,VAR_Forecast,9.012454887524251,VAR_Forecast,182.1401150396963,VAR_Forecast,446019400985.3072,412529857159.9688,479181264999.1629,13163.289143916132,12049.76891287431,14286.788473609002,36.027684634466524,34.215698235893576,37.89742923436876,22.3305383177232,21.2886655651477,23.312894647389577,3.555595489102344,1.79545356795801,5.181926894040958,36206542.4006438,36163836.52764908,36255970.83785517,79.89990735366516,79.87219061195641,79.9297162532547,1.0801335580483524,0.9463678794433432,1.2127097636947033,3044.988488618245,2948.8888026642608,3137.474670896217,5207.172239666982,4852.678249247496,5560.047577128019,100.0,99.92120350382652,100.0,96.77548702617732,96.63450369542296,96.91538956239108,100.0,100.0,100.0,176.0142476520891,153.33112551580334,198.33473640601423,14.470779386603688,13.320971582990454,15.662462754939549,7.66029508569195,7.358032136174137,7.954307847736591,8.871370622791066,8.54280585458666,9.232244942249544,192.96102928780425,190.3001270658222,195.80348256580717
2025,Malaysia,380919037319.3665,VAR_Forecast,11028.624784513824,VAR_Forecast,36.591309480867785,VAR_Forecast,24.031529847400737,VAR_Forecast,4.361891720494032,VAR_Forecast,35563364.39190678,VAR_Forecast,79.44060696651849,VAR_Forecast,0.920148365687063,VAR_Forecast,2743.5065118601906,VAR_Forecast,4724.160691701722,VAR_Forecast,100.0,VAR_Forecast,96.85389045185464,VAR_Forecast,100.0,VAR_Forecast,148.84951269436303,VAR_Forecast,14.521370119109797,VAR_Forecast,7.323587888345049,VAR_Forecast,8.527931782538039,VAR_Forecast,181.62529077798143,VAR_Forecast,453130628606.23535,419098749165.513,486735421672.6276,13465.574675522992,12368.143754219123,14529.782923482677,35.550847066987835,33.60771694544312,37.28843083747879,22.224850519245894,21.242478773521768,23.148529336594425,3.6684109556378752,2.0491728126698776,5.302663827086978,36838476.9005283,36704029.93701656,36987593.47992262,80.52809198992693,80.4385735730448,80.62594022276451,0.9613282716195256,0.8336775088135245,1.0982722617843226,3104.0246898522373,3007.591137829743,3204.641685739224,5330.312836566529,4987.002534185895,5674.754057679733,100.0,99.743750535926,100.0,96.88171598502608,96.41934018075244,97.3357205614841,100.0,100.0,100.0,181.36172783527488,158.23811382718702,200.0,13.849148972054143,12.747516562382112,15.03982265394109,7.343354416414377,7.059893174196304,7.632219495328398,8.540565602312775,8.17563768520819,8.910278632152028,194.8272732424029,192.1529683293588,197.31546146699463
