Year,Country,GDP (current US$),GDP (current US$)_Source,GNI per capita,GNI per capita_Source,Industry (% of GDP),Industry (% of GDP)_Source,Manufacturing (% of GDP),Manufacturing (% of GDP)_Source,Foreign direct investment (% of GDP),Foreign direct investment (% of GDP)_Source,"Population, total","Population, total_Source",Urban population (% of total),Urban population (% of total)_Source,Population growth (annual %),Population growth (annual %)_Source,Energy use (kg of oil equivalent per capita),Energy use (kg of oil equivalent per capita)_Source,Electric power consumption (kWh per capita),Electric power consumption (kWh per capita)_Source,Access to electricity (% of population),Access to electricity (% of population)_Source,Fossil fuel energy consumption (% of total),Fossil fuel energy consumption (% of total)_Source,Individuals using the Internet (% of population),Individuals using the Internet (% of population)_Source,Mobile cellular subscriptions (per 100 people),Mobile cellular subscriptions (per 100 people)_Source,PM2.5 air pollution (micrograms per cubic meter),PM2.5 air pollution (micrograms per cubic meter)_Source,CO2 emissions (metric tons per capita),CO2 emissions (metric tons per capita)_Source,Total greenhouse gas emissions (per capita),Total greenhouse gas emissions (per capita)_Source,Demand (TWh),Demand (TWh)_Source,GDP (current US$)_Prophet,GDP (current US$)_Lower_CI,GDP (current US$)_Upper_CI,GNI per capita_Prophet,GNI per capita_Lower_CI,GNI per capita_Upper_CI,Industry (% of GDP)_Prophet,Industry (% of GDP)_Lower_CI,Industry (% of GDP)_Upper_CI,Manufacturing (% of GDP)_Prophet,Manufacturing (% of GDP)_Lower_CI,Manufacturing (% of GDP)_Upper_CI,Foreign direct investment (% of GDP)_Prophet,Foreign direct investment (% of GDP)_Lower_CI,Foreign direct investment (% of GDP)_Upper_CI,"Population, total_Prophet","Population, total_Lower_CI","Population, total_Upper_CI",Urban population (% of total)_Prophet,Urban population (% of total)_Lower_CI,Urban population (% of total)_Upper_CI,Population growth (annual %)_Prophet,Population growth (annual %)_Lower_CI,Population growth (annual %)_Upper_CI,Energy use (kg of oil equivalent per capita)_Prophet,Energy use (kg of oil equivalent per capita)_Lower_CI,Energy use (kg of oil equivalent per capita)_Upper_CI,Electric power consumption (kWh per capita)_Prophet,Electric power consumption (kWh per capita)_Lower_CI,Electric power consumption (kWh per capita)_Upper_CI,Access to electricity (% of population)_Prophet,Access to electricity (% of population)_Lower_CI,Access to electricity (% of population)_Upper_CI,Fossil fuel energy consumption (% of total)_Prophet,Fossil fuel energy consumption (% of total)_Lower_CI,Fossil fuel energy consumption (% of total)_Upper_CI,Individuals using the Internet (% of population)_Prophet,Individuals using the Internet (% of population)_Lower_CI,Individuals using the Internet (% of population)_Upper_CI,Mobile cellular subscriptions (per 100 people)_Prophet,Mobile cellular subscriptions (per 100 people)_Lower_CI,Mobile cellular subscriptions (per 100 people)_Upper_CI,PM2.5 air pollution (micrograms per cubic meter)_Prophet,PM2.5 air pollution (micrograms per cubic meter)_Lower_CI,PM2.5 air pollution (micrograms per cubic meter)_Upper_CI,CO2 emissions (metric tons per capita)_Prophet,CO2 emissions (metric tons per capita)_Lower_CI,CO2 emissions (metric tons per capita)_Upper_CI,Total greenhouse gas emissions (per capita)_Prophet,Total greenhouse gas emissions (per capita)_Lower_CI,Total greenhouse gas emissions (per capita)_Upper_CI,Demand (TWh)_Prophet,Demand (TWh)_Lower_CI,Demand (TWh)_Upper_CI
2000,Indonesia,165000000000.0,Historical,570.0,Historical,41.96907,Historical,22.65975,Historical,-2.75744,Historical,216000000.0,Historical,42.002,Historical,1.43244,Historical,720.36955,Historical,382.17718,Historical,86.3,Historical,61.95227,Historical,0.92556,Historical,1.71406,Historical,26.2052,Historical,1.38419,Historical,2.60505,Historical,98.04,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Indonesia,160000000000.0,Historical,700.0,Historical,47.8935,Historical,30.7546,Historical,-1.85569,Historical,219000000.0,Historical,42.783,Historical,1.38802,Historical,727.13288,Historical,402.69669,Historical,86.3,Historical,61.45676,Historical,2.01861,Historical,3.00349,Historical,25.85438,Historical,1.45863,Historical,2.67874,Historical,106.16,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Indonesia,196000000000.0,Historical,780.0,Historical,47.74533,Historical,31.95328,Historical,0.07415,Historical,222000000.0,Historical,43.568,Historical,1.35573,Historical,743.9754,Historical,408.60289,Historical,87.6,Historical,62.54925,Historical,2.13414,Historical,5.3154,Historical,25.52917,Historical,1.46322,Historical,2.68123,Historical,113.04,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Indonesia,235000000000.0,Historical,880.0,Historical,43.74957,Historical,28.25284,Historical,-0.25426,Historical,225000000.0,Historical,44.356,Historical,1.32378,Historical,736.27664,Historical,419.82598,Historical,87.9,Historical,62.44202,Historical,2.38702,Historical,8.29086,Historical,25.19757,Historical,1.57139,Historical,2.7836,Historical,117.39,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Indonesia,257000000000.0,Historical,1060.0,Historical,44.62762,Historical,28.06583,Historical,0.73824,Historical,228000000.0,Historical,45.149,Historical,1.27101,Historical,774.98286,Historical,464.7153,Historical,89.0,Historical,64.31645,Historical,2.60029,Historical,13.42693,Historical,24.82758,Historical,1.58018,Historical,2.81139,Historical,124.78,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Indonesia,286000000000.0,Historical,1200.0,Historical,46.54106,Historical,27.40751,Historical,2.91611,Historical,231000000.0,Historical,45.942,Historical,1.28381,Historical,778.6431,Historical,490.71421,Historical,84.8,Historical,64.99625,Historical,3.60202,Historical,20.50215,Historical,24.38718,Historical,1.5706,Historical,2.81325,Historical,132.89,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Indonesia,365000000000.0,Historical,1350.0,Historical,46.94356,Historical,27.53757,Historical,1.34794,Historical,234000000.0,Historical,46.738,Historical,1.32526,Historical,786.46397,Historical,505.81391,Historical,90.6,Historical,65.17708,Historical,4.76481,Historical,27.52533,Historical,23.88606,Historical,1.63895,Historical,2.92362,Historical,138.0,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Indonesia,432000000000.0,Historical,1570.0,Historical,46.79914,Historical,27.04841,Historical,1.60301,Historical,237000000.0,Historical,47.535,Historical,1.32087,Historical,772.48788,Historical,535.35286,Historical,91.1,Historical,64.58464,Historical,5.78627,Historical,39.76308,Historical,23.31567,Historical,1.69526,Historical,2.99128,Historical,148.4,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Indonesia,510000000000.0,Historical,1900.0,Historical,48.06074,Historical,27.81427,Historical,1.82633,Historical,240000000.0,Historical,48.335,Historical,1.29735,Historical,777.61787,Historical,558.93226,Historical,92.7,Historical,63.80708,Historical,7.91748,Historical,59.08224,Historical,22.6167,Historical,1.65423,Historical,2.96768,Historical,155.9,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Indonesia,540000000000.0,Historical,2110.0,Historical,47.65212,Historical,26.35547,Historical,0.90392,Historical,243000000.0,Historical,49.134,Historical,1.26699,Historical,829.9988,Historical,582.71106,Historical,93.6,Historical,65.52072,Historical,6.92,Historical,67.92102,Historical,21.72983,Historical,1.69137,Historical,3.06022,Historical,162.87,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
