Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,2.3153327638176684,2.2359378145779716,2.394352486926977
2025-12-31,2.1977883642960414,2.126010523018978,2.281879675949383
2026-12-31,2.0239908105370867,1.9457736118396696,2.101487826508246
2027-12-31,1.7943087874596884,1.7185612401332702,1.8752643669209572
2028-12-31,2.4810169099048025,2.3963064664599405,2.5601840880135622
2029-12-31,2.363472510381591,2.2867506887112254,2.437577129368809
2030-12-31,2.1896749566236973,2.112335398816703,2.2668070036122145
2031-12-31,1.95999293354162,1.8808177424895791,2.0425400972026337
2032-12-31,2.646701055990284,2.5669803015503927,2.7269117710913715
2033-12-31,2.5291566564705406,2.4432536262650038,2.6104072125774422
2034-12-31,2.355359102707608,2.278130815449807,2.4402266289782077
