Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,6.110399859370401,6.024336033150179,6.202530408413204
2025-12-31,6.119653183966965,6.030371651271783,6.209364146217292
2026-12-31,6.129646437315469,6.030150624834255,6.229059113053033
2027-12-31,6.140366956493683,6.028333127168946,6.249271893355831
2028-12-31,6.104192919326947,5.981549029239188,6.2193235391610795
2029-12-31,6.113446243923608,5.95478454714371,6.257731345639295
2030-12-31,6.123439497271985,5.959646623483253,6.310266910954905
2031-12-31,6.134160016450409,5.919261796454431,6.3699810298490345
2032-12-31,6.097985979283565,5.862996981100975,6.361572518537609
2033-12-31,6.10723930388008,5.842378003656555,6.409701336600153
2034-12-31,6.117232557228752,5.808750754566579,6.433861261927112
