Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,97.07365734244948,95.47693506900536,98.83728424630982
2025-12-31,94.4546590760846,92.82409450665051,96.01738997417347
2026-12-31,91.1463764381572,89.4210863985576,92.86832908019403
2027-12-31,87.15504053474251,85.23465472983747,88.84402289736853
2028-12-31,97.38834707566828,95.64381200670184,99.12187575450237
2029-12-31,94.76934880927826,92.79769424084641,96.71251827697371
2030-12-31,91.46106617136499,89.11254381023912,93.54706898442966
2031-12-31,87.46973026788208,85.20485190964445,89.85385665304607
2032-12-31,97.70303680885435,95.08310607290775,99.89991443440519
2033-12-31,95.08403854252907,92.2545832706919,97.6933683260074
2034-12-31,91.77575590453922,88.73618953831611,94.63118931279071
