Year,Demand (TWh),"Population, total",Population growth (annual %),Urban population (% of total),Rural population (% of total),GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Residential energy consumption (% of total),Renewable electricity output (% of total),Fossil fuel electricity production (%),Fossil fuel energy consumption (% of total),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),CO2 intensity (kg per 2015 US$ GDP),Energy productivity (GDP per unit energy),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita)
2015,162.91,92823254.0,1.23975403093124,33.809,66.191,239258328381.741,2460.0,34.2665466382117,20.9600916821922,4.93190773329022,,,,36.7320576972006,63.2679423027994,,99.3,,78.0,,,3.54,45.0,130.5154869,19.377014054477,
2016,180.5,94000117.0,1.25988366517733,34.51,65.49,257096001177.982,2560.0,34.1152288612372,21.4882532002034,4.90089302916746,,,,,,,99.2,,83.6,,,3.65,53.0,129.5014832,20.3304456216218,
2017,195.43,95176977.0,1.24420473643635,35.213,64.787,281353605986.903,2680.0,35.3903640729728,22.6271239749306,5.01148721749681,,,,,,,100.0,,88.0,,,3.55,58.14,127.6319162,18.5797797556674,
2018,218.8,96237319.0,1.10791395242199,35.919,64.081,310106478394.659,3020.0,36.5424334086447,23.3671679233065,4.99828319622328,,,,,,,100.0,,91.7,,,3.9,69.8479,148.1748225,20.1630176303186,
2019,238.14,97173776.0,0.968366698803348,36.628,63.372,334365270496.667,3290.0,36.8031368977554,23.7867165015145,4.821074861051,,,,,,,99.4,,94.2,,,4.09,68.6616,142.2374996,20.8317868906878,
2020,245.51,98079191.0,0.927434295850725,37.34,62.66,346615738537.796,3400.0,36.7437132938801,23.9472430412931,4.55836196782424,,,,,,,99.8,,96.0,,,4.03,70.3,143.7522156,20.8010641731194,
2021,254.43,98935098.0,0.868883560805873,38.052,61.948,366474752771.009,3540.0,37.39151924693,24.4593726835113,4.27314566190187,,,,,,,100.0,,97.1,,,3.85,74.21,138.8654955,,
2022,267.43,99680655.0,0.750756665157789,38.766,61.234,410324028883.325,3960.0,38.175376111625,24.5795734424262,4.3624059864868,,,,,,,100.0,,98.1,,,,78.59,139.9496874,,
2023,278.61,100352192.0,0.671429250652247,39.48,60.52,429716969043.572,4110.0,37.1201018368351,23.8827677952544,4.30515928686171,,,,,,,,,,,,,78.08,,,
2024,,,,40.195,,,,,,,,,,,,,,,,,,,,,,
2025,,,,40.909,,,,,,,,,,,,,,,,,,,,,,
2026,,,,41.622,,,,,,,,,,,,,,,,,,,,,,
2027,,,,42.334,,,,,,,,,,,,,,,,,,,,,,
2028,,,,43.043,,,,,,,,,,,,,,,,,,,,,,
2029,,,,43.751,,,,,,,,,,,,,,,,,,,,,,
2030,,,,44.455,,,,,,,,,,,,,,,,,,,,,,
2031,,,,45.155,,,,,,,,,,,,,,,,,,,,,,
2032,,,,45.851,,,,,,,,,,,,,,,,,,,,,,
2033,,,,46.543,,,,,,,,,,,,,,,,,,,,,,
2034,,,,47.229,,,,,,,,,,,,,,,,,,,,,,
2035,,,,47.909,,,,,,,,,,,,,,,,,,,,,,
