Year,Demand (TWh),"Population, total",Population growth (annual %),Urban population (% of total),Rural population (% of total),GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Residential energy consumption (% of total),Renewable electricity output (% of total),Fossil fuel electricity production (%),Fossil fuel energy consumption (% of total),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),CO2 intensity (kg per 2015 US$ GDP),Energy productivity (GDP per unit energy),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita),Country
2017,94.36,108119693,1.288301867,46.682,53.318,3.28481E+11,3440,30.12655058,19.50020206,3.122387784,,,,,,,93,,47.8,,,2.89,41.6,112.3979818,18.33270181,,Philippines
2018,99.74,109465287,1.236860333,46.907,53.093,3.46842E+11,3610,30.56374016,19.09824717,2.868338261,,,,,,,94.2,,49.9,,,2.8,44.1,123.9757392,20.58850778,,Philippines
2019,106.03,110804683,1.216155346,47.149,52.851,3.76823E+11,3760,30.32750788,18.5164544,2.301174986,,,,,,,95.3,,52.3,,,2.66,43.0266,151.5865313,21.5254372,,Philippines
2020,101.75,112081264,1.145514086,47.408,52.592,3.61751E+11,3350,28.39991759,17.65817905,1.885863632,,,,,,,96.4,,54.6,,,2.78,53.7649,133.3257005,20.28874171,,Philippines
2021,105.75,113100950,0.905660311,47.684,52.316,3.94087E+11,3570,28.88980912,17.6400847,3.040788553,,,,,,,97.5,,56.9,,,2.78,63.4019,143.4358742,,,Philippines
2022,111.52,113964338,0.760479216,47.977,52.023,4.04353E+11,4010,29.22123994,17.22937941,2.347509723,,,,,,,94.8,,59.1,,,,75.2111,144.0428223,,,Philippines
2023,111.52,114891199,0.810000999,48.287,51.713,4.37146E+11,4320,28.18068636,16.21797582,2.0854108,,,,,,,,,,,,,,,,,Philippines
2024,,,,48.614,51.386,,,,,,,,,,,,,,,,,,,,,,Philippines
2025,,,,48.958,51.042,,,,,,,,,,,,,,,,,,,,,,Philippines
2026,,,,49.318,50.682,,,,,,,,,,,,,,,,,,,,,,Philippines
2027,,,,49.695,50.305,,,,,,,,,,,,,,,,,,,,,,Philippines
2028,,,,50.088,49.912,,,,,,,,,,,,,,,,,,,,,,Philippines
2029,,,,50.498,49.502,,,,,,,,,,,,,,,,,,,,,,Philippines
2030,,,,50.924,49.076,,,,,,,,,,,,,,,,,,,,,,Philippines
2031,,,,51.365,48.635,,,,,,,,,,,,,,,,,,,,,,Philippines
2032,,,,51.823,48.177,,,,,,,,,,,,,,,,,,,,,,Philippines
2033,,,,52.295,47.705,,,,,,,,,,,,,,,,,,,,,,Philippines
2034,,,,52.783,47.217,,,,,,,,,,,,,,,,,,,,,,Philippines
2035,,,,53.285,46.715,,,,,,,,,,,,,,,,,,,,,,Philippines
2000,31.67,4027887,1.732042233,100,0,96076539926,23680,32.4585045,25.86148604,16.14889045,4634.72585,7575.435954,0.097325332,0.773724933,98.45255013,98.91780933,100,3.638086215,100,98.91780933,0.296862835,3.47,36,67.77675756,19.79997192,12.16662434,Singapore
2001,33.06,4138012,2.697355843,100,0,89793790670,22130,30.37966108,23.39469785,18.93986069,5145.885754,7516.1696,0.160572768,1.429478074,97.14104385,98.16821256,100,6.005016773,100,98.16821256,0.296240357,4,41.6704,72.58809459,19.31426286,11.97221516,Singapore
2002,34.66,4175950,0.912639806,100,0,92538372870,22000,30.74567542,24.73764032,6.653665882,5065.984507,7756.318921,0.162589466,1.364528041,97.27094392,98.15511935,100,6.560120009,100,98.15622545,0.266914401,3.82,47,79.3192099,18.58425257,11.3102312,Singapore
2003,35.32,4114826,-1.474532842,100,0,97646401096,23440,30.22480292,24.76541269,17.46241537,6216.739177,8113.587306,0.141055209,1.400996264,97.19800747,98.4042485,100,5.50775501,100,98.40425241,0.165173942,4.42,53.8379,84.63439691,17.73928066,7.566013727,Singapore
2004,36.82,4166664,1.251916673,100,0,1.15034E+11,26170,31.88589386,27.1193676,21.20272375,7370.652877,8314.325321,0.112077903,1.301241477,97.39751705,98.71373917,100,5.889543886,100,98.71374243,0.134210204,4.83,62,93.4502185,16.90868676,6.833825574,Singapore
2005,38.22,4265762,2.350511289,100,0,1.27808E+11,28830,31.4076522,27.0767618,15.11335885,5055.96632,8678.168168,0.17701922,1.250883207,97.49823359,98.17112737,100,3.124591108,100,98.17220306,0.128974361,3.08,61,100.9198005,16.22181047,7.116921432,Singapore
2006,39.49,4401365,3.129389156,100,0,1.48627E+11,32550,30.89429655,26.57800599,26.3271523,5264.398658,8720.022084,0.165193582,1.209370722,97.58125856,98.30136458,100,2.692561229,100,98.30236585,0.116611705,3.03,59,106.7315594,15.60320415,6.997632098,Singapore
2007,41.13,4588599,4.166002864,100,0,1.80942E+11,36010,28.22577096,23.8226519,26.16198888,4677.204306,8706.579067,0.181734504,1.183964214,97.63207157,98.12869974,100,2.873605135,100,98.1287044,0.067352954,2.57,69.9,127.0378465,14.95527648,4.342606098,Singapore
2008,41.67,4839396,5.321517083,100,0,1.93617E+11,37230,26.41533816,20.58566497,7.023286082,5094.135714,8401.048395,0.171183046,1.258479756,97.48543759,98.24675267,100,2.54332766,100,98.24676078,0.117684134,2.9,69,132.5809637,14.37415164,7.466761968,Singapore
2009,41.8,4987573,3.015949915,100,0,1.9415E+11,37320,27.01631937,20.27337643,12.07109441,4257.776277,8114.367449,0.204186388,1.298260089,97.41075979,97.93284225,100,1.790870926,100,97.93284225,0.181887698,3.13,69,137.4018501,13.95595379,11.21442253,Singapore
2010,45.36,5076732,1.771832879,100,0,2.39808E+11,44930,26.63587172,20.77383303,23.06947168,5006.620992,8679.99335,0.186691987,1.305085867,97.40085095,97.68803286,100,2.854875333,100,97.68803286,0.155121267,2.55,71,143.0129038,13.7968071,10.96040878,Singapore
2011,46,5183688,2.084902456,100,0,2.79356E+11,48250,25.25959258,19.58255151,17.59603141,5069.171794,8651.755275,0.187056641,1.327741319,97.36190186,97.70145037,100,2.542483376,100,97.70144276,0.116141995,2.13,71,147.5817519,15.50309323,8.72379742,Singapore
2012,46.94,5312437,2.45339033,100,0,2.95093E+11,51710,25.02220216,19.11682198,18.74352442,4898.330465,8673.985216,0.198670671,1.358284899,97.31110685,96.3290894,100,1.896915118,100,97.60899516,0.088128316,2.37,72,149.9274113,16.92235993,6.846758465,Singapore
2013,47.97,5399162,1.619308099,100,0,3.07576E+11,54470,23.44272863,17.63840961,20.93448104,4880.40607,8680.606361,0.198830885,1.546832329,97.13565011,94.00615626,100,2.295232338,100,97.55516705,0.126298675,2.54,80.9021,154.0346262,18.07666256,10.31198193,Singapore
2014,49.3,5469724,1.298440178,100,0,3.14864E+11,56380,24.16851925,17.99976889,21.81848808,5121.804318,8844.687593,0.192789212,1.662616444,97.06156339,90.57887358,100,2.029161604,100,97.68200129,0.120927919,2.68,79.0292,145.4770145,17.28168859,10.30633191,Singapore
2015,50.28,5535002,1.186376937,100,0,3.07999E+11,53160,24.28802291,18.08932985,22.65418269,,,,1.820886641,96.92353466,,100,,100,,,2.74,79.013,145.7181198,17.1833033,,Singapore
2016,51.59,5607283,1.297436099,100,0,3.19054E+11,53310,23.24515861,17.47442136,20.48652361,,,,,,,100,,100,,,2.73,84.4523,148.123236,15.90029489,,Singapore
2017,52.28,5612253,0.08859547,100,0,3.43257E+11,54920,23.52505968,18.56833281,29.76365175,,,,,,,100,,100,,,2.77,84.4523,145.4058271,16.07688405,,Singapore
2018,52.97,5638676,0.469704299,100,0,3.76893E+11,56550,25.39393161,20.72849882,21.7592915,,,,,,,100,,100,,,2.47,88.1656,147.3617155,15.97685716,,Singapore
2019,54.14,5703569,1.144283307,100,0,3.76902E+11,58810,24.02135238,19.36385133,28.09499358,,,,,,,100,,100,,,2.61,88.9493,154.0006188,17.07590632,,Singapore
2020,53.07,5685807,-0.311904961,100,0,3.49488E+11,55290,23.20869309,19.62711617,23.10030052,,,,,,,100,,100,,,2.71,92.0043,142.8931601,13.86919559,,Singapore
2021,55.79,5453566,-4.1703363,100,0,4.34112E+11,64970,24.27736289,20.2841459,31.62074002,,,,,,,100,,100,,,2.51,96.9247,147.480416,,,Singapore
2022,57.1,5637022,3.308620524,100,0,4.98475E+11,66970,23.74660667,19.72325438,29.8437976,,,,,,,100,,100,,,,95.9539,156.4790531,,,Singapore
2023,57.4,5917648,4.858316078,100,0,5.01428E+11,70590,22.40036132,17.64928666,34.94851531,,,,,,,,,,,,,94.2863,,,,Singapore
2024,,,,100,0,,,,,,,,,,,,,,,,,,,,,,Singapore
2025,,,,100,0,,,,,,,,,,,,,,,,,,,,,,Singapore
2026,,,,100,0,,,,,,,,,,,,,,,,,,,,,,Singapore
2027,,,,100,0,,,,,,,,,,,,,,,,,,,,,,Singapore
2028,,,,100,0,,,,,,,,,,,,,,,,,,,,,,Singapore
2029,,,,100,0,,,,,,,,,,,,,,,,,,,,,,Singapore
2030,,,,100,0,,,,,,,,,,,,,,,,,,,,,,Singapore
2031,,,,100,0,,,,,,,,,,,,,,,,,,,,,,Singapore
2032,,,,100,0,,,,,,,,,,,,,,,,,,,,,,Singapore
2033,,,,100,0,,,,,,,,,,,,,,,,,,,,,,Singapore
2034,,,,100,0,,,,,,,,,,,,,,,,,,,,,,Singapore
2035,,,,100,0,,,,,,,,,,,,,,,,,,,,,,Singapore
2000,98.34,63007815,1.13127018,31.386,68.614,1.26392E+11,1980,36.66940838,28.37544528,2.663128687,1147.244052,1446.804654,0.657054269,6.811006804,93.1889932,78.74346474,82.1,7.90814466,61.1,39.20247952,0.395308372,4.93,3.68904,4.845670931,40.39122756,2.879232989,Thailand
2001,103.7,63651141,1.015848468,32.548,67.452,1.20296E+11,1960,36.32100349,27.82676748,4.212235095,1168.685397,1502.109758,0.656824896,6.636399141,93.36360086,81.19440353,90.4,9.200351494,62.6,42.0317325,0.401106208,4.9,5.55633,11.86176404,40.35065432,3.062483198,Thailand
2002,111.06,64266437,0.962026885,33.734,66.266,1.34301E+11,1980,36.89443145,28.51503178,2.488153019,1279.990425,1612.599124,0.71791806,7.484428463,92.51557154,81.92836084,91,7.261519268,63.8,44.11229633,0.398400368,5.1,7.53125,27.17095763,40.43269527,3.251318602,Thailand
2003,118.21,64868166,0.931947505,34.941,65.059,1.52281E+11,2170,37.91817489,29.58050295,3.435939848,1373.727554,1705.212384,0.644233272,7.224981408,92.77501859,82.03147041,91.6,7.310463914,64.9,44.65322968,0.392841975,5.15,9.29903,33.37129642,40.52812677,3.478810022,Thailand
2004,127.25,65452047,0.896077275,36.169,63.831,1.72896E+11,2520,37.9023025,29.41896805,3.389474953,1471.23365,1814.488705,0.493752957,5.823729191,94.17627081,82.05719879,92.2,7.938628934,65.9,46.76141048,0.389520025,5.24,10.6773,41.28780674,40.52772515,3.741227066,Thailand
2005,134.3,66017420,0.860087894,37.411,62.589,1.89318E+11,2770,38.50521071,29.61506806,4.339587081,1499.686628,1897.362848,0.462170299,5.544755176,94.45524482,81.81330376,92.8,8.105327655,67.1,44.25738133,0.368582482,5.18,15.026,46.27713253,40.32226677,3.782433584,Thailand
2006,141.35,66567687,0.830063303,38.673,61.327,2.21758E+11,3070,39.14685588,30.16807997,4.021256707,1516.593614,1982.50842,0.638628497,6.917155584,93.08284442,81.56143348,99.1,8.05812227,68.2,43.20148309,0.346976971,5.03,17.1607,60.503253,39.75210625,3.829104127,Thailand
2007,146.27,67102394,0.800044181,39.95,60.05,2.62943E+11,3480,39.43137188,30.58744967,3.283569394,1568.267535,2051.715174,0.617217608,6.91389195,93.08610805,81.15233515,94.1,6.464032139,69.4,42.52139788,0.321067779,4.95,20.03,79.27063763,38.75093016,3.813655648,Thailand
2008,147.26,67619830,0.768156179,41.242,58.758,2.91383E+11,3900,39.47961297,30.55473054,2.938249054,1598.665465,2071.537299,0.523067985,6.597886397,93.4021136,80.57079085,94.8,6.073555547,70.5,39.4074866,0.309544556,4.99,18.2,91.84432107,37.34951271,3.793534164,Thailand
2009,147.05,68121080,0.738542682,42.543,57.457,2.81711E+11,4060,38.60859889,29.46214007,2.275902241,1581.027562,2062.459961,0.528255352,6.897179131,93.10282087,80.13354249,99,5.913985741,71.55,39.9980873,0.32792479,5,20.1,97.25521206,35.5786281,4.001129215,Thailand
2010,163.51,68579447,0.670617338,43.856,56.144,3.41105E+11,4490,39.9217257,30.93047882,4.323209282,1718.300455,2261.216834,0.39558816,5.60988453,94.39011547,79.99305669,99.7,6.344579431,72.8,40.10677945,0.317455882,5.1,22.4,105.0619397,33.46905055,4.19478194,Thailand
2011,162.74,69007208,0.621807948,44.698,55.302,3.70819E+11,4840,37.98139827,28.99588092,0.667087645,1705.630302,2234.476723,1.012273301,8.047900199,91.9520998,80.19388911,99.3,6.944631421,74,41.65367801,0.304495669,5.05,23.6699,112.714004,29.05919519,4.12138946,Thailand
2012,177.58,69436098,0.619591347,45.445,54.555,3.97558E+11,5400,37.34369414,27.97278735,3.244564443,1817.446928,2387.302927,1.109230016,8.390870733,91.60912927,80.16213661,99.1,5.695003836,75.3,40.21453286,0.297106949,5.05,26.46,122.9260548,31.5886299,4.371765415,Thailand
2013,179.93,69845114,0.587325699,46.193,53.807,4.20334E+11,5580,36.89858846,27.58869075,3.791264509,1943.101603,2453.528818,0.899895082,8.277930019,91.72206998,80.66699695,99.4,6.067469795,76.4,42.47318298,0.288084386,5.29,28.94,134.8819857,34.48835114,4.403807563,Thailand
2014,183.95,70216367,0.530129864,46.943,53.057,4.07339E+11,5620,36.76304037,27.57350096,1.22145318,1919.153365,2474.522785,1.108075739,8.514534749,91.48546525,79.83902265,99.5,6.111201261,77.4,41.56815174,0.295304242,5.22,34.8861,138.7860081,29.97053846,4.621860032,Thailand
2015,189.98,70540795,0.460976294,47.694,52.306,4.01296E+11,5560,36.17917733,27.3740712,2.22468549,,,,8.538478848,91.46152115,,99.6,,78.7,,,5.07,39.3161,146.4441042,28.15444138,,Thailand
2016,198.21,70859841,0.451266063,48.448,51.552,4.13366E+11,5550,35.58676541,27.14423937,0.843364341,,,,,,,99.9,,79.8,,,5.04,47.505,169.4859395,30.39859962,,Thailand
2017,200.05,71160187,0.42296351,49.2,50.8,4.56357E+11,5800,35.01875953,27.01481548,1.815502601,,,,,,,99.9,,81,,,4.82,52.8919,171.4147843,27.10067447,,Thailand
2018,203.34,71376079,0.302929452,49.949,50.051,5.06754E+11,6430,34.74248967,26.71283439,2.712798351,,,,,,,99.8,,82.2,,,4.53,56.8175,175.8777812,30.0080974,,Thailand
2019,209.17,71522271,0.204609852,50.692,49.308,5.43977E+11,7060,33.59391051,25.62159641,1.017348776,,,,,,,99.9,,83.1,,,4.53,66.6524,181.7670258,30.38275655,,Thailand
2020,203.41,71641484,0.166540795,51.43,48.57,5.00462E+11,6900,33.29072297,25.55533257,-0.857989527,,,,,,,100,,84.3,,,4.59,77.8437,162.7043297,31.00720163,,Thailand
2021,207.75,71727332,0.119758275,52.163,47.837,5.06256E+11,7090,35.04964694,27.16759949,3.039881536,,,,,,,100,,85.3,,,4.44,85.2696,168.7823161,,,Thailand
2022,213.78,71735329,0.011148545,52.889,47.111,4.95645E+11,7230,35.15209303,27.05149006,2.391795941,,,,,,,99.9,,86.1,,,,87.9772,176.3169269,,,Thailand
2023,224.04,71702435,-0.045865189,53.608,46.392,5.14969E+11,7200,32.88653891,24.91144701,1.265328501,,,,,,,,,,,,,89.5352,,,,Thailand
2024,,,,54.32,45.68,,,,,,,,,,,,,,,,,,,,,,Thailand
2025,,,,55.024,44.976,,,,,,,,,,,,,,,,,,,,,,Thailand
2026,,,,55.721,44.279,,,,,,,,,,,,,,,,,,,,,,Thailand
2027,,,,56.409,43.591,,,,,,,,,,,,,,,,,,,,,,Thailand
2028,,,,57.088,42.912,,,,,,,,,,,,,,,,,,,,,,Thailand
2029,,,,57.759,42.241,,,,,,,,,,,,,,,,,,,,,,Thailand
2030,,,,58.42,41.58,,,,,,,,,,,,,,,,,,,,,,Thailand
2031,,,,59.071,40.929,,,,,,,,,,,,,,,,,,,,,,Thailand
2032,,,,59.713,40.287,,,,,,,,,,,,,,,,,,,,,,Thailand
2033,,,,60.344,39.656,,,,,,,,,,,,,,,,,,,,,,Thailand
2034,,,,60.965,39.035,,,,,,,,,,,,,,,,,,,,,,Thailand
2035,,,,61.574,38.426,,,,,,,,,,,,,,,,,,,,,,Thailand
2000,26.56,77154011,1.129509842,24.374,75.626,31172518403,390,36.73077533,18.44690091,4.16392408,372.4504874,296.8607815,3.673042839,54.78332894,45.21667106,46.27348735,88.2,13.76830692,13.6,-38.9160354,0.329019413,4.21,0.254248,0.99816152,27.23326426,0.668171732,Vietnam
2001,30.61,77969361,1.051237474,24.937,75.063,32685198809,410,38.12942166,19.65966819,3.977335453,393.0459171,338.1456467,4.29849024,59.49424987,40.50575013,47.91381219,88.9,13.86238892,16.5,-36.33351986,0.345254325,4.2,1.26565,1.567564328,27.27245424,0.753511856,Vietnam
2002,35.8,78772224,1.024450559,25.511,74.489,35064105501,430,38.48667879,20.45703129,3.992687051,424.5325611,390.7976497,3.931045235,50.83808247,49.16191753,52.27151552,89.1,14.00156442,19.3,-33.31726143,0.370382563,4.28,1.855,2.359044585,27.37291606,0.863947417,Vietnam
2003,40.93,79563777,0.999847905,26.092,73.908,39552513232,480,39.47000781,20.327561,3.6660123,441.2902872,448.1059264,3.958396503,46.39218082,53.60781918,53.51507155,90.3,12.88210141,22.6,-30.31637458,0.377899452,4.19,3.78028,3.365415447,27.46690786,0.951895898,Vietnam
2004,46.2,80338971,0.969589432,26.683,73.317,45427854693,550,40.20874953,20.33742155,3.544081073,485.0413631,500.3673746,3.36959039,38.55958796,61.44041204,58.26328476,91,13.00612435,25.9,-47.75277355,0.393169349,4.31,7.64241,6.025909442,27.48668781,1.084062591,Vietnam
2005,52.46,81088313,0.928402391,27.281,72.719,57633255738,650,38.1311399,18.82328356,3.390403639,508.7261219,589.2464429,3.101582326,31.67399732,68.32600268,60.53286039,96.1,11.66318771,29.35,-47.28930121,0.383887172,4.25,12.7399,11.53831883,27.36451404,1.164096013,Vietnam
2006,58.87,82167897,1.322583364,27.888,72.112,66371664817,740,38.58473103,19.38072563,3.616000904,514.4490189,664.4444119,3.69547648,33.84358521,66.15641479,60.72421328,96,11.34511431,33.1,-46.52332745,0.364476131,4.07,17.2546,22.50396061,27.00075971,1.207428585,Vietnam
2007,66.79,83633375,1.767798458,28.504,71.496,77414425532,860,38.51162485,19.3804145,8.654717714,543.8605341,743.6385295,3.986846692,34.49438873,65.50561127,62.72987523,93.1,11.11061366,36.8,-38.83980641,0.33826051,4.09,20.7554,53.11803062,26.36059835,1.221015643,Vietnam
2008,74.17,85175788,1.827455213,29.128,70.872,99130304099,1000,37.07769638,18.57965765,9.663039055,570.9964433,812.6135563,4.247103788,35.48149763,64.51850237,64.56385219,93.8,10.08365579,41,-26.45171575,0.353257525,4.14,23.92,87.47047116,25.47348872,1.360812495,Vietnam
2009,84.37,86460018,1.496487238,29.762,70.238,1.06015E+11,1120,37.38818638,18.30103546,7.168819889,613.731436,912.7802865,4.494720073,36.13225128,63.86774872,66.79639429,96.1,9.600240457,45.1,-25.23504458,0.362639749,4.29,26.55,113.5761578,24.36888958,1.469012678,Vietnam
2010,96.36,87455152,1.144402597,30.417,69.583,1.47201E+11,1370,33.02287714,17.13057057,5.434739293,673.6244538,1028.42426,3.690362665,29.14028008,70.85971992,70.32817751,97.4,10.11243059,49.8,-12.69035852,0.37354956,4.44,30.65,127.6386103,23.07625967,1.613359582,Vietnam
2011,105.38,88468314,1.151834061,31.08,68.92,1.72595E+11,1630,34.58040878,18.69414554,4.304874349,665.5771692,1107.83167,5.448965479,39.46018141,60.53981859,68.49888991,99,9.548197402,55.2,-15.9655986,0.367258414,4.18,35.07,144.1078862,20.49057658,1.701422283,Vietnam
2012,116.61,89510356,1.170987408,31.752,68.248,1.95591E+11,1980,35.86023239,20.27409248,4.278322877,669.497907,1210.239852,6.802802325,45.01921899,54.98078101,66.97810449,97.9,9.112014423,60.4,-15.73432615,0.320235351,4.01,36.8,147.4487893,21.51164395,1.572337982,Vietnam
2013,126.79,90573104,1.180297555,32.429,67.571,2.13709E+11,2200,35.57515044,20.68745369,4.164545173,661.6491028,1279.386428,6.937204,41.66200202,58.33799798,69.82183655,98.5,9.197626625,66.3,-15.10587448,0.309466472,3.91,38.5,137.0761674,23.22749251,1.609111593,Vietnam
2014,142.69,91679578,1.214234636,33.115,66.885,2.33451E+11,2390,35.29856849,20.37122923,3.940861891,,1424.232123,,42.98140651,57.01859349,,99.2,9.286712285,72.1,,0.325190414,4.11,41,149.2271298,20.40350649,1.80356575,Vietnam
2015,162.91,92823254,1.239754031,33.809,66.191,2.39258E+11,2460,34.26654664,20.96009168,4.931907733,,,,36.7320577,63.2679423,,99.3,,78,,,3.54,45,130.5154869,19.37701405,,Vietnam
2016,180.5,94000117,1.259883665,34.51,65.49,2.57096E+11,2560,34.11522886,21.4882532,4.900893029,,,,,,,99.2,,83.6,,,3.65,53,129.5014832,20.33044562,,Vietnam
2017,195.43,95176977,1.244204736,35.213,64.787,2.81354E+11,2680,35.39036407,22.62712397,5.011487217,,,,,,,100,,88,,,3.55,58.14,127.6319162,18.57977976,,Vietnam
2018,218.8,96237319,1.107913952,35.919,64.081,3.10106E+11,3020,36.54243341,23.36716792,4.998283196,,,,,,,100,,91.7,,,3.9,69.8479,148.1748225,20.16301763,,Vietnam
2019,238.14,97173776,0.968366699,36.628,63.372,3.34365E+11,3290,36.8031369,23.7867165,4.821074861,,,,,,,99.4,,94.2,,,4.09,68.6616,142.2374996,20.83178689,,Vietnam
2020,245.51,98079191,0.927434296,37.34,62.66,3.46616E+11,3400,36.74371329,23.94724304,4.558361968,,,,,,,99.8,,96,,,4.03,70.3,143.7522156,20.80106417,,Vietnam
2021,254.43,98935098,0.868883561,38.052,61.948,3.66475E+11,3540,37.39151925,24.45937268,4.273145662,,,,,,,100,,97.1,,,3.85,74.21,138.8654955,,,Vietnam
2022,267.43,99680655,0.750756665,38.766,61.234,4.10324E+11,3960,38.17537611,24.57957344,4.362405986,,,,,,,100,,98.1,,,,78.59,139.9496874,,,Vietnam
2023,278.61,100352192,0.671429251,39.48,60.52,4.29717E+11,4110,37.12010184,23.8827678,4.305159287,,,,,,,,,,,,,78.08,,,,Vietnam
2024,,,,40.195,59.805,,,,,,,,,,,,,,,,,,,,,,Vietnam
2025,,,,40.909,59.091,,,,,,,,,,,,,,,,,,,,,,Vietnam
2026,,,,41.622,58.378,,,,,,,,,,,,,,,,,,,,,,Vietnam
2027,,,,42.334,57.666,,,,,,,,,,,,,,,,,,,,,,Vietnam
2028,,,,43.043,56.957,,,,,,,,,,,,,,,,,,,,,,Vietnam
2029,,,,43.751,56.249,,,,,,,,,,,,,,,,,,,,,,Vietnam
2030,,,,44.455,55.545,,,,,,,,,,,,,,,,,,,,,,Vietnam
2031,,,,45.155,54.845,,,,,,,,,,,,,,,,,,,,,,Vietnam
2032,,,,45.851,54.149,,,,,,,,,,,,,,,,,,,,,,Vietnam
2033,,,,46.543,53.457,,,,,,,,,,,,,,,,,,,,,,Vietnam
2034,,,,47.229,52.771,,,,,,,,,,,,,,,,,,,,,,Vietnam
2035,,,,47.909,52.091,,,,,,,,,,,,,,,,,,,,,,Vietnam
