Year,Demand (TWh),"Population, total",Population growth (annual %),Urban population (% of total),Rural population (% of total),GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Residential energy consumption (% of total),Renewable electricity output (% of total),Fossil fuel electricity production (%),Fossil fuel energy consumption (% of total),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),CO2 intensity (kg per 2015 US$ GDP),Energy productivity (GDP per unit energy),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita)
2010,2.56,14500726.0,1.55621745380597,20.294,79.706,13808673288.0696,910.0,26.0088985136981,19.6933673443391,10.1698071899391,365.446392132366,142.406662949152,0.110706029810324,5.5,94.5,30.0598312436618,31.1,28.6,11.5,31.667496345701,0.141725707142032,5.05,1.26,56.74623762,24.8224340951565,0.3503305671918
2011,2.89,14722584.0,1.51839242344005,20.663,79.337,16032622023.8265,990.0,26.6606926732023,20.5921067908236,9.59845134883883,376.551086412548,163.082784924168,0.185012225357854,7.07547169811321,92.9245283018868,28.9806910596603,37.4,27.9245283018868,12.9,31.5769764629167,0.134718472316038,4.81,3.1,94.39487785,21.6807107694691,0.358177248053809
2012,3.57,14945085.0,1.49998418675996,21.037,78.963,17826536699.8016,1110.0,27.6110297650086,20.9212544909796,11.1524912445112,386.485590413169,204.95032313299,1.7404604869063,37.6569037656904,62.3430962343096,29.0450930218869,42.3,18.2705718270572,14.5,31.9329092841833,0.129169763038366,4.68,4.94,129.2052488,22.9965791117395,0.369259354453103
2013,4.09,15170208.0,1.49510212980529,21.415,78.585,19807135252.8649,1230.0,28.9581198037895,21.6035358243074,10.4430587644193,393.149190835089,219.443266697464,2.89563711875362,57.9302587176603,42.0697412823397,28.612234256152,50.9,28.0652418447694,16.1,31.637960448714,0.121589037805417,4.47,6.0,135.0996151,25.7785023524529,0.372980821280234
2014,4.91,15396772.0,1.4824372519955,21.799,78.201,22041463967.9009,1330.0,29.9169916479613,21.7999725120974,8.4090202030066,413.528108359337,269.212273845453,3.31926620677437,61.1365120836055,38.8634879163945,30.629081397544,56.1,23.4160679294579,18.2,33.1162975078679,0.133005810705771,4.5,14.0,134.4568277,22.1052880421246,0.437759998009271
2015,6.13,15623251.0,1.46023762985186,22.188,77.812,24174170369.0738,1430.0,31.4639051712341,22.4571002060738,7.54029662001988,,,,46.4180122811008,53.5819877188992,,62.7,,20.7,,,4.58,6.43319,135.2392534,21.599028896344,
2016,7.31,15852803.0,1.45860767566845,22.582,77.418,26556545153.3573,1550.0,33.0562094608004,22.7340356176555,9.32318507305768,,,,,,,68.8,,23.4,,,4.74,32.3985,127.4626128,22.4071810127085,
2017,8.29,16073372.0,1.38176596089867,22.98,77.02,29355665909.7905,1690.0,34.2980809169165,23.1551231795313,9.49760203098747,,,,,,,89.1,,26.9,,,4.59,32.9003,117.3225889,20.7075312769695,
2018,10.13,16274522.0,1.24368277407927,23.388,76.612,33145892168.8958,1920.0,36.8714237524226,23.5663927875165,9.69240300027115,,,,,,,80.7,,31.2,,,4.58,,121.1658947,22.9919425508182,
2019,12.1,16481304.0,1.26258301009769,23.805,76.195,36685356407.7206,2100.0,39.0455946521572,24.6156471977013,9.98500044202808,,,,,,,84.0,,35.7,,,4.85,52.3059,132.1508925,22.9738017157091,
2020,12.78,16725474.0,1.47062988552696,24.232,75.768,34818073901.4851,2050.0,37.4576122779361,23.9980719281973,10.410239809326,,,,,,,86.4,,41.3,,,5.09,53.6508,128.6026166,24.1436022803452,
2021,13.46,16974305.0,1.47677836241244,24.668,75.332,36790163687.4421,2120.0,40.3205085730071,26.653916852434,9.4684591111041,,,,,,,82.5,,47.2,,,4.96,55.6004,119.9575768,,
2022,15.45,17201724.0,1.33088813106016,25.114,74.886,39994532959.6074,2270.0,40.8649626222158,27.1223298665315,8.94830125779537,,,,,,,92.3,,53.5,,,,56.7328,116.3256071,,
2023,18.87,17423880.0,1.28320677599476,25.57,74.43,42335646895.7984,2390.0,40.5173741615592,26.3329383959453,9.35096701989758,,,,,,,,,,,,,,,,
2024,,,,26.035,,,,,,,,,,,,,,,,,,,,,,
2025,,,,26.51,,,,,,,,,,,,,,,,,,,,,,
2026,,,,26.995,,,,,,,,,,,,,,,,,,,,,,
2027,,,,27.49,,,,,,,,,,,,,,,,,,,,,,
2028,,,,27.995,,,,,,,,,,,,,,,,,,,,,,
2029,,,,28.51,,,,,,,,,,,,,,,,,,,,,,
2030,,,,29.034,,,,,,,,,,,,,,,,,,,,,,
2031,,,,29.568,,,,,,,,,,,,,,,,,,,,,,
2032,,,,30.112,,,,,,,,,,,,,,,,,,,,,,
2033,,,,30.665,,,,,,,,,,,,,,,,,,,,,,
2034,,,,31.227,,,,,,,,,,,,,,,,,,,,,,
2035,,,,31.798,,,,,,,,,,,,,,,,,,,,,,
