Year,Demand (TWh),"Population, total",Population growth (annual %),Urban population (% of total),Rural population (% of total),GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Renewable electricity output (% of total),Access to electricity (% of population),Access to clean fuels and technologies for cooking,CO2 intensity (kg per 2015 US$ GDP),Energy productivity (GDP per unit energy),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita)
2000,1.04,5431212.0,1.67898547843134,21.977,78.023,1731198022.46763,280.0,16.4770694017999,8.71088702828675,1.95760389973722,90.9088380274609,42.6,1.3,0.0894293182842018,3.8,0.111044,0.233499231,28.820009114765,0.176149080630416
2001,0.99,5521482.0,1.64839890567014,22.993,77.007,1768619058.34647,300.0,16.9937147919347,9.1444310735075,1.35157901983043,90.7550491299177,45.3,1.4,0.0768678406417614,3.78,0.181664,0.535263919,28.8274106843826,0.161184788888052
2002,1.03,5610889.0,1.60628714871708,24.044,75.956,1758176653.07746,310.0,18.3826897329941,10.1492602809144,0.253176893420544,90.5991807969466,46.3,1.5,0.0942992514190035,3.65,0.267899,0.983928046,28.8952739905149,0.20945621583647
2003,1.12,5697945.0,1.53964095162728,25.126,74.874,2023324407.28414,330.0,20.1201441501939,9.81210926959904,0.962969691363711,90.9039016083618,48.0,1.6,0.083280762552487,3.55,0.333912,1.97352289,28.9554957475365,0.197162692467062
2004,0.83,5781626.0,1.45793744820894,26.242,73.758,2366398119.86321,380.0,19.3595097686057,10.09899321317,0.714895049062071,100.0,53.5,1.8,0.0965289238287161,3.42,0.361434,3.539963389,28.9399726698219,0.245994204361999
2005,1.34,5869523.0,1.50884118892528,27.186,72.814,2735558734.7379,450.0,23.2287895606829,9.64161022318721,1.01332132437858,100.0,57.2,2.0,0.0880032202549267,3.31,0.850357,11.23409141,28.7806014717458,0.244083186276878
2006,1.74,5963200.0,1.58338798520366,27.748,72.252,3455030060.9785,500.0,26.1754512486046,9.455624322685,5.42138961728604,100.0,57.0,2.3,0.0868143397508552,3.37,1.16989,16.97720022,28.4053138984033,0.265181500322429
2007,2.42,6056236.0,1.54812352499039,28.316,71.684,4223152739.04052,600.0,25.3930205228552,10.0618302002961,7.66062749777557,100.0,55.0,2.5,0.0460782943960034,3.36,1.64,24.47150868,27.7775269837477,0.152848496929386
2008,2.25,6148969.0,1.5195940495706,28.893,71.107,5446433157.40114,740.0,26.9497231702456,10.0831015739329,4.18200303606929,100.0,66.0,2.9,0.043602224882578,3.48,3.55,32.95597261,26.8823653754409,0.156321265525372
2009,2.62,6241642.0,1.49588633029834,29.475,70.525,5836137329.63305,880.0,25.163093788149,11.6792654656985,5.45905949594973,100.0,67.4,3.2,0.0535157612167052,3.44,6.0,51.92100072,25.7049537211446,0.204449551335525
2010,2.92,6334194.0,1.47192872108695,30.064,69.936,7131771014.70456,990.0,30.4660210858755,11.0944103727538,3.90935018167503,100.0,70.2,3.5,0.063487111432736,3.3,7.0,63.31061777,24.2304166685204,0.262420284476794
2011,3.07,6426590.0,1.44814949802327,30.66,69.34,8750104617.17303,1130.0,30.815970194642,10.6713661460928,3.43702755895922,100.0,70.0,4.0,0.0570594204908914,3.1,9.0,85.42039479,20.5789011650413,0.256490776723786
2012,3.9,6518978.0,1.42735442034268,31.264,68.736,10192846339.4029,1350.0,32.4366446720109,8.98377274194291,6.06067602678934,100.0,76.4,4.3,0.054206178547656,2.93,10.7477,66.06436451,22.4365696992954,0.264657252209568
2013,4.14,6611385.0,1.40755477426746,31.872,68.128,11983252626.5452,1590.0,30.4277075542967,8.43540228331074,5.68624628337024,99.9651873436654,79.3,4.8,0.0458615682805632,2.98,12.5,69.88020438,24.2423626108046,0.242789462006416
2014,4.74,6703172.0,1.37876842701215,32.487,67.513,13279245886.3854,1810.0,28.815000545489,8.42769528413766,6.53385086120159,99.9667487290981,82.5,5.2,0.0518945848849828,2.93,14.26,69.02215871,21.3928997917018,0.297200883705774
2015,6.66,6801645.0,1.45836474920589,33.108,66.892,14426380125.6488,1960.0,27.6933442499915,8.19005219527172,7.47075777292731,86.3699995757859,89.7,5.8,,3.83,18.2,54.91280264,20.1670988613747,
