Year,Demand (TWh),"Population, total",Population growth (annual %),Urban population (% of total),Rural population (% of total),GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Renewable electricity output (% of total),Access to electricity (% of population),Access to clean fuels and technologies for cooking,CO2 intensity (kg per 2015 US$ GDP),Energy productivity (GDP per unit energy),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita)
2016,6.7,6908802.0,1.56317561333482,33.736,66.264,15912501722.6143,2110.0,28.7595046372574,7.77156382707168,5.87774436155716,,89.0,6.2,,4.75,21.87,57.44162039,22.463787282601,
2017,6.67,7018147.0,1.57029722559747,34.368,65.632,17071155481.4994,2240.0,30.91247539947,7.48353451889534,9.91778683507173,,93.6,6.8,,4.9,25.5104,53.04168369,19.1515982168711,
2018,7.51,7128045.0,1.55377801997365,35.004,64.996,18141641089.7963,2460.0,31.533192488879,7.45272743973651,7.4856486219066,,92.9,7.3,,4.7,36.3,51.54585373,20.9840690040935,
2019,8.47,7237636.0,1.52576304616693,35.645,64.355,18740561512.5555,2520.0,31.531381987864,7.64369194070959,4.03149139231071,,98.4,8.0,,4.3,47.0323,64.29411986,22.4289603771825,
2020,10.59,7346533.0,1.49338675171473,36.29,63.71,18981805250.2424,2470.0,32.4163678323352,7.68478649420094,5.09807193491087,,99.3,8.7,,4.37,54.0,63.34796067,22.3176670505669,
2021,11.53,7453194.0,1.44141640887407,36.939,63.061,18827148530.9347,2500.0,34.1299777246213,8.69509978976757,5.69344695957329,,100.0,9.4,,4.25,62.0,64.95535792,,
2022,11.95,7559007.0,1.40971670105791,37.592,62.408,15468785203.7532,2300.0,34.1089797342112,8.80581309491413,4.69509225789708,,100.0,10.2,,4.51,66.1548,,,
2023,15.26,7664993.0,1.39237667233214,38.247,61.753,15843155731.2552,2110.0,30.5335808308347,9.24787735815749,11.2425630959408,,,,,,,,,
2024,,,,38.906,,,,,,,,,,,,,,,
2025,,,,39.566,,,,,,,,,,,,,,,
2026,,,,40.229,,,,,,,,,,,,,,,
2027,,,,40.893,,,,,,,,,,,,,,,
2028,,,,41.559,,,,,,,,,,,,,,,
2029,,,,42.225,,,,,,,,,,,,,,,
2030,,,,42.891,,,,,,,,,,,,,,,
2031,,,,43.557,,,,,,,,,,,,,,,
2032,,,,44.222,,,,,,,,,,,,,,,
2033,,,,44.886,,,,,,,,,,,,,,,
2034,,,,45.548,,,,,,,,,,,,,,,
2035,,,,46.207,,,,,,,,,,,,,,,
