Year,Demand (TWh),"Population, total",Population growth (annual %),Urban population (% of total),Rural population (% of total),GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Residential energy consumption (% of total),Renewable electricity output (% of total),Fossil fuel electricity production (%),Fossil fuel energy consumption (% of total),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),CO2 intensity (kg per 2015 US$ GDP),Energy productivity (GDP per unit energy),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita)
2017,94.36,108119693.0,1.28830186666283,46.682,53.318,328480736798.792,3440.0,30.1265505771364,19.5002020560488,3.12238778408668,,,,,,,93.0,,47.8,,,2.89,41.6,112.3979818,18.3327018141416,
2018,99.74,109465287.0,1.23686033319068,46.907,53.093,346841896583.515,3610.0,30.5637401551561,19.0982471670238,2.86833826073638,,,,,,,94.2,,49.9,,,2.8,44.1,123.9757392,20.5885077839401,
2019,106.03,110804683.0,1.21615534645287,47.149,52.851,376823402244.928,3760.0,30.3275078789962,18.5164544000114,2.30117498594757,,,,,,,95.3,,52.3,,,2.66,43.0266,151.5865313,21.5254371973976,
2020,101.75,112081264.0,1.1455140860985,47.408,52.592,361751145451.597,3350.0,28.3999175850521,17.6581790478661,1.88586363211171,,,,,,,96.4,,54.6,,,2.78,53.7649,133.3257005,20.2887417122616,
2021,105.75,113100950.0,0.905660310915421,47.684,52.316,394087359848.11,3570.0,28.8898091185459,17.6400846961045,3.04078855310047,,,,,,,97.5,,56.9,,,2.78,63.4019,143.4358742,,
2022,111.52,113964338.0,0.760479216015364,47.977,52.023,404353369604.631,4010.0,29.2212399364338,17.2293794131524,2.3475097233369,,,,,,,94.8,,59.1,,,,75.2111,144.0428223,,
2023,111.52,114891199.0,0.810000998681961,48.287,51.713,437146372729.942,4320.0,28.1806863621071,16.2179758176734,2.08541079990247,,,,,,,,,,,,,,,,
2024,,,,48.614,,,,,,,,,,,,,,,,,,,,,,
2025,,,,48.958,,,,,,,,,,,,,,,,,,,,,,
2026,,,,49.318,,,,,,,,,,,,,,,,,,,,,,
2027,,,,49.695,,,,,,,,,,,,,,,,,,,,,,
2028,,,,50.088,,,,,,,,,,,,,,,,,,,,,,
2029,,,,50.498,,,,,,,,,,,,,,,,,,,,,,
2030,,,,50.924,,,,,,,,,,,,,,,,,,,,,,
2031,,,,51.365,,,,,,,,,,,,,,,,,,,,,,
2032,,,,51.823,,,,,,,,,,,,,,,,,,,,,,
2033,,,,52.295,,,,,,,,,,,,,,,,,,,,,,
2034,,,,52.783,,,,,,,,,,,,,,,,,,,,,,
2035,,,,53.285,,,,,,,,,,,,,,,,,,,,,,
