Year,GDP (current US$),Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),Population growth rate,GNI per capita,Electric power consumption (kWh per capita),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Fossil fuel energy consumption (% of total),Urban population (% of total),"Population, total",Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter)
2000,93789736842.1053,48.3205714911013,30.8635497655731,4.03842862393764,2128.59533531617,97.8,-58.6133137909066,2.34480241175698,3490,2774.14273956218,98.6,7.99942242437369,94.9730969134974,61.977,22967816,21.3847,22.32170197,23.5136706210687
2001,92783947368.4211,46.2026949988513,29.3364040399457,0.597029318252079,2162.6181888725,98.0,-54.0123700348272,2.40351289519482,3570,2779.75450531651,98.6,8.00039390017444,95.1780638263954,62.922,23526538,26.696,31.36877845,23.3307924792576
2002,100845526315.789,45.1153796974529,29.2463982171795,3.16612432250471,2181.9827065907,98.1,-55.0893697248292,2.41855547054066,3810,2832.94534416525,98.6,8.00010774555886,95.6284197268942,63.856,24102477,32.3382,37.49827327,23.2129752557118
2003,110202368421.053,46.5786626994835,29.9286718930962,2.92094209456765,2283.09281486792,98.1,-50.6956753599229,2.36624571909165,4170,2916.94331213283,98.7,8.00061170653379,95.9911100418413,64.78,24679602,34.9712,44.96469217,23.1072146751735
2004,124749473684.211,48.5303176049683,30.3781473606048,3.50787262049413,2399.18486020304,98.1,-52.0792254693467,2.31172452935085,4720,2976.54823031225,98.7,8.00034028486705,96.2164669700382,65.694,25256772,42.2523,57.67519655,22.9605064623849
2005,143534405818.501,46.3683224854575,27.5496800827112,2.73438734940078,2544.0910113616,98.0,-45.3960406342887,2.26772984873607,5240,2857.55523740432,98.7,8.00019353355993,96.8270839757407,66.594,25836071,48.6292,75.39480725,22.7198463420882
2006,162692258307.056,46.5156572562267,27.5660875626692,4.72716484834358,2501.712607156,97.8,-40.7188250642881,2.22705351047756,5790,3040.51316097727,98.8,7.99955471446065,96.6940755469026,67.483,26417909,51.638,73.42192752,22.1459745460658
2007,193549569477.733,44.5959960321039,26.1225839420447,4.68684578287436,2680.57790411124,97.5,-28.3541407341323,2.17350461828888,6560,3239.19327186522,98.9,7.99971286763198,96.9448283252121,68.36,26998389,55.7,86.17480992,21.1584955616188
2008,230811614370.384,45.1050654004356,24.5607176579228,3.28081949125174,2744.00801971443,97.2,-26.9661623574635,2.09531674831339,7420,3246.27524373452,99.0,7.99991820124539,96.7602257708384,69.225,27570059,55.8,100.1760536,19.9427014967672
2009,202257453036.641,40.9678238412473,23.8001450501293,0.056692316075743,2555.84477857923,96.9,-24.7207893952925,1.99206021194285,7500,3887.46179614289,99.3,5.67485323655423,96.6643483947923,70.075,28124778,55.9,106.8284441,18.6838844595312
2010,255017638455.59,40.4989323548818,23.4337755680919,4.26864663854031,2560.80226199423,96.5,-21.7027753593753,1.87040612656176,8130,4080.74797904618,99.5,6.16896126168,96.896213032511,70.912,28655776,56.3,117.9017242,17.5673365579308
2011,297951668674.835,39.8242687277964,23.3202044896916,5.07446032143377,2623.8471185091,95.9,-14.7370616925982,1.75128008243176,8890,4030.71952547625,99.5,9.35292980081222,96.81165029369,71.609,29162039,61.0,125.6206583,16.5543727413676
2012,314443047642.111,40.1350010090069,23.1381762920437,2.8290573817453,2624.83537056864,95.2,-11.868809790613,1.70269513202166,9980,4251.58340415991,99.8,6.22111756870391,96.7402331937941,72.275,29662831,65.8,139.3270554,17.9101382186238
2013,323276235524.415,39.8853736547897,22.8407424205833,3.49431175959971,2909.99247206187,94.5,-5.76051303676827,1.70946282045073,10590,4414.68913990117,99.6,3.84971231965767,96.7518810939698,72.93,30174265,57.0575,142.7087288,18.7954198873143
2014,338066095097.254,39.9244244845871,22.8739302431305,3.14122940365348,2922.28592151514,93.5,-5.50502894059521,1.7147407282165,10840,4526.23729168266,99.7,5.79240382724505,96.6281988978081,73.577,30696137,63.6654,146.794505,17.1052502297433
2015,301355266964.947,38.4496697879603,22.2932974814824,3.27094402931735,,92.7,,1.73319445645586,10350,,99.9,,,74.213,31232798,71.0641,141.9557664,16.9297330913892
2016,301256033870.334,37.6832735037439,21.7969514793711,4.47130958598651,,91.6,,1.76731054757933,9800,,99.9,,,74.84,31789685,78.7883,137.8669153,16.3864419259472
2017,319109094160.343,38.1147163565611,21.8461598838126,2.93582038058561,,90.7,,1.76466064017847,9560,,100.0,,,75.447,32355644,80.1405,132.4079212,14.9450075810201
2018,358788845712.53,38.2914391724977,21.5281592651946,2.31458721219734,,89.5,,1.70174731907235,10200,,100.0,,,76.036,32910967,81.201,130.908501,16.6541753286852
2019,365177721021.516,37.4765552390649,21.4089982975331,2.50697705748044,,88.2,,1.59646653343981,10750,,100.0,,,76.607,33440596,84.1871,135.9610804,17.8197510834605
2020,337456163961.211,35.9347385342535,22.2320775941863,1.20275464255821,,86.9,,1.33363323143911,10110,,100.0,,,77.16,33889558,89.555,131.6976181,16.1938532237922
2021,373784823672.946,37.6826861838931,23.363165635524,5.41625984914692,,86.0,,1.15251304394292,10520,,100.0,,,77.696,34282399,96.7514,140.5905675,
2022,407605841348.235,39.0948343009769,23.3311324135913,3.68689336269238,,84.1,,1.1977720012836,11610,,100.0,,,78.214,34695493,97.3986,141.2923164,
