Year,GDP (current US$),Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Fossil fuel energy consumption (% of total),Urban population (% of total),"Population, total",Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter)
2000,83669788254.7279,34.9752844865482,25.2795652869319,1.77722452873062,502.227285598337,489.102741930442,74.7,14.0097151689115,53.0686072962105,46.135,79625397,1.98225,8.27925362,31.5189595125717
2001,78921234457.5487,34.8976152580491,25.3115458938417,0.96298544393499,470.398858065101,507.816269894231,75.7,12.1424017003188,54.304902746892,46.05,81401488,2.52401,15.27032611,31.2923190881475
2002,84307345887.543,34.78343526285,25.135408678046,2.09827504516588,467.257808154868,511.587436783944,76.7,12.3176594383808,55.872919631993,45.965,83068889,4.33228,18.92463893,31.05570387518
2003,87039092974.2272,34.5405640298629,24.8368726452881,0.565263243432102,459.257751233642,544.423474364741,76.6,12.8636191915376,57.2156239264721,45.88,84731835,4.85767,27.13864248,30.7743493607566
2004,95001999685.3314,33.6186962072883,24.0119978825828,0.623144777963454,448.979705931294,564.040508873111,87.6,12.9152742284254,56.3830346446124,45.795,86394504,5.24363,38.92784282,30.4134910319648
2005,107419977318.166,33.8136763053241,24.2699011657558,1.54906009249231,441.438224580219,565.23838255611,79.8,12.0511959269539,57.8125893578486,45.71,88015962,5.39764,40.31821357,29.9383643758918
2006,127652926368.069,33.4625853303804,23.8291853953244,2.12091886479217,430.899507676246,557.463582483216,80.2,12.1251078667911,56.182376080838,45.625,89508986,5.74059,48.76907405,29.1782265763242
2007,155980408673.403,33.000860932449,23.1509115996374,1.87121245887706,424.339806988477,570.989787953654,82.0,12.7627451309322,57.2748354547926,45.54,91075184,5.97,64.02850974,28.0341722365094
2008,181624626327.361,32.765288410954,23.2686676777552,0.737800589215247,432.636985290957,573.263417512328,83.3,12.6272175728778,57.6297547713247,45.455,92699095,6.22,74.64704735,26.5791929727268
2009,175974755881.372,31.5225426812628,21.7386143914197,1.17324821246427,404.586633892837,576.600439162254,84.3,12.1105925291904,56.2629237068097,45.371,94384250,9.0,81.32235128,24.8862804012556
2010,208368893151.144,32.3395560456604,21.9192017163827,0.513698049517663,419.330927718675,622.210803986521,85.5,11.5142747483098,60.1111697621336,45.332,96337125,25.0,87.86246562,23.0284261383751
2011,234216730295.938,31.3386827822291,21.7043269521461,0.856963002969068,413.916475198317,625.922315809972,87.2,11.1021163409275,59.8809862216574,45.522,98248614,29.0,97.77022573,20.2762007200701
2012,261920540972.102,31.3994933621089,21.3285712085069,1.2276300069868,431.789367844708,644.478862259272,87.1,11.4644615405713,59.4838029356379,45.712,100175512,30.8,104.0252318,21.8351961883251
2013,283902828581.65,30.7754466321992,20.4344987662807,1.31642638381475,438.83582380935,661.514731484876,87.5,10.2848563760529,61.4121390511965,45.903,102076336,32.7,103.1328562,22.7402636854564
2014,297483555344.802,31.0474444746342,20.5750839902722,1.92937522797834,459.424559588378,674.510319404613,89.8,9.40954155988714,62.4348962921868,46.093,103767130,34.7,109.8700461,20.3368824432152
2015,306445871246.718,30.4819509830595,19.9280223739769,1.84018010715303,,,89.1,,,46.284,105312992,36.9,114.3710694,19.7079275985218
2016,318627003012.52,30.2859171676697,19.5903031996457,2.59850803497646,,,92.0,,,46.475,106735719,39.2,114.5140314,19.9069716374648
2017,328480736798.792,30.1265505771364,19.5002020560488,3.12238778408668,,,93.0,,,46.682,108119693,41.6,112.3979818,18.3327018141416
2018,346841896583.515,30.5637401551561,19.0982471670238,2.86833826073638,,,94.2,,,46.907,109465287,44.1,123.9757392,20.5885077839401
2019,376823402244.928,30.3275078789962,18.5164544000114,2.30117498594757,,,95.3,,,47.149,110804683,43.0266,151.5865313,21.5254371973976
2020,361751145451.597,28.3999175850521,17.6581790478661,1.88586363211171,,,96.4,,,47.408,112081264,53.7649,133.3257005,20.2887417122616
2021,394087359848.11,28.8898091185459,17.6400846961045,3.04078855310047,,,97.5,,,47.684,113100950,63.4019,143.4358742,
2022,404353369604.631,29.2212399364338,17.2293794131524,2.3475097233369,,,94.8,,,47.977,113964338,75.2111,144.0428223,
