Year,Demand (TWh),"Population, total",Population growth (annual %),Urban population (% of total),Rural population (% of total),GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Residential energy consumption (% of total),Renewable electricity output (% of total),Fossil fuel electricity production (%),Fossil fuel energy consumption (% of total),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),CO2 intensity (kg per 2015 US$ GDP),Energy productivity (GDP per unit energy),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita)
2018,4.3,437810,1.15739958778106,77.629,22.371,13566908401.1864,28790.0,63.244818370328,2.13432149853163,3.80486552547671,,,,,,,100.0,,100.0,,,5.88,95.0,130.3207192,7.49485587718805,
2019,4.93,442680,1.10621350885567,77.942,22.058,13469235348.2211,31550.0,62.5153213959076,2.32782256470564,2.77118008258428,,,,,,,100.0,,100.0,,,6.35,95.0,131.2182683,7.94585811311948,
2020,5.74,447404,1.06148281648515,78.25,21.75,12005799664.2691,30810.0,59.1336301292727,6.83209894472881,4.71057564880466,,,,,,,100.0,,100.0,,,6.31,95.0503,121.4758051,7.59726503432135,
2021,5.7,451721,0.96027430523198,78.554,21.446,14006496614.3195,29890.0,62.7015640831986,9.67845068289214,1.46181722277193,,,,,,,100.0,,100.0,,,6.33,95.6225,135.501254,,
2022,5.6,455370,0.804554269312164,78.854,21.146,16681536442.5498,30970.0,67.9255854818627,11.625807221824,-1.75293370882122,,,,,,,100.0,,100.0,,,,98.9704,117.7551548,,
2023,5.59,458949,0.782881746925984,79.149,20.851,15128292980.8638,34480.0,61.8007697610423,10.3563505081171,-0.33706803706167,,,,,,,,,,,,,,,,
2024,,462721,,79.439,20.561,,,,,,,,,,,,,,,,,,,,,
2025,,466330,,79.726,20.274,,,,,,,,,,,,,,,,,,,,,
2026,,469775,,80.007,19.993,,,,,,,,,,,,,,,,,,,,,
2027,,473156,,80.285,19.715,,,,,,,,,,,,,,,,,,,,,
2028,,476433,,80.559,19.441,,,,,,,,,,,,,,,,,,,,,
2029,,479495,,80.828,19.172,,,,,,,,,,,,,,,,,,,,,
2030,,482447,,81.093,18.907,,,,,,,,,,,,,,,,,,,,,
2031,,485316,,81.353,18.647,,,,,,,,,,,,,,,,,,,,,
2032,,487952,,81.61,18.39,,,,,,,,,,,,,,,,,,,,,
2033,,490437,,81.863,18.137,,,,,,,,,,,,,,,,,,,,,
2034,,492894,,82.111,17.889,,,,,,,,,,,,,,,,,,,,,
2035,,495290,,82.355,17.645,,,,,,,,,,,,,,,,,,,,,
