Year,GDP (current US$),Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),Population growth rate,GNI per capita,Electric power consumption (kWh per capita),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Fossil fuel energy consumption (% of total),Urban population (% of total),"Population, total",Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),Demand (TWh),Country
2001,160446947784.909,47.8935007853871,30.7545972173123,-1.85568619300523,727.132877794512,7.5,-51.8184045011989,1.38801892806803,700,402.696690358998,86.3,12.8627017204259,61.4567561997716,42.783,219097902,2.01861,3.003488464,25.8543760470568,88230.00000000009,Indonesia
2002,195660611165.183,47.7453311592597,31.9532784940709,0.0741516383181159,743.975400436659,8.8,-50.286293134744,1.35572575488289,780,408.602885980203,87.6,16.1444135394624,62.5492538730196,43.568,222088495,2.13414,5.31540109,25.5291686460049,90745.99999999988,Indonesia
2003,234772463823.808,43.7495660917608,28.2528418444569,-0.254256320381005,736.276643692843,10.4,-53.9882909101057,1.32378197652859,880,419.825977753156,87.9,16.3692531024838,62.4420226939689,44.356,225048008,2.38702,8.290855733,25.1975719602112,94481.00000000007,Indonesia
2004,256836875295.452,44.6276159754602,28.0658265856536,0.738243979887563,774.982863017479,12.5,-50.1742911075702,1.27101139474106,1060,464.715295314152,89.0,11.8522340487504,64.3164471823184,45.149,227926649,2.60029,13.42692564,24.8275783674222,105921.00000000006,Indonesia
2005,285868619196.085,46.5410588710711,27.4075074800459,2.91611483313067,778.643103213409,15.0,-55.914624816494,1.28380661170743,1200,490.714212853765,84.8,11.1637353072634,64.9962452984458,45.942,230871650,3.60202,20.5021492,24.3871802453844,113291.99999999994,Indonesia
2006,364570515618.358,46.9435587410795,27.5375740802453,1.3479426406893,786.463974188992,18.5,-70.8317495454458,1.32525502272966,1350,505.813910645093,90.6,11.0737044607431,65.1770813902277,46.738,233951652,4.76481,27.52533357,23.8860554289587,118335.9999999999,Indonesia
2007,432216737774.861,46.7991415207073,27.0484127487931,1.6030105718879,772.487879422196,23.0,-74.0946324572424,1.32086532413059,1570,535.352859530782,91.1,10.7202903954246,64.5846374090852,47.535,237062337,5.78627,39.76307645,23.3156711321389,126911.9999999999,Indonesia
2008,510228634992.255,48.0607447690175,27.8142729854304,1.82632902403999,777.617865858864,28.45,-73.6338643639194,1.29735043016571,1900,558.932262162532,92.7,10.108085664921,63.8070770740834,48.335,240157903,7.91748,59.08224127,22.6167038013704,134231.9999999999,Indonesia
2009,539580085612.401,47.6521225811621,26.3554745271064,0.903919419654062,829.998798454213,34.2,-74.3997566461944,1.26698625068088,2110,582.711058646864,93.6,9.59853036855601,65.5207245811215,49.134,243220028,6.92,67.92102195,21.7298298830988,141726.9999999999,Indonesia
2010,755094157594.524,42.7758663362749,22.0386285924438,2.02517914576708,861.154360278094,40.6,-79.04613071007,1.26054140134601,2490,624.440425205266,94.2,9.39825041972254,67.1547878248677,49.914,246305322,10.92,86.58861927,20.5957258237696,153802.99999999997,Indonesia
