Year,GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),"Population, total",Urban population (% of total),Population growth (annual %),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Access to electricity (% of population),Fossil fuel energy consumption (% of total),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita),Total greenhouse gas emissions (per capita),Demand (TWh),Country
2024-01-01,64435457030.377884,1137.2986949519582,35.739133032618625,19.50858080422688,2.696100256689233,53811155.48176616,32.00049479352306,0.710710785130263,374.1222272880733,216.94202587248247,69.7581522980416,42.55732272334054,40.44501641074397,106.56941984816834,32.87472675885509,0.5167532359842791,2.0450206200731635,23.299427704723218,Myanmar
2025-01-01,58088581551.89001,1079.5763216320836,34.927880238048594,19.710261937000702,4.490238161134019,53366167.629553474,31.713866210858594,0.7369690906240443,364.6879845754775,208.60186270189223,68.48076645235464,40.15589180812712,31.150735828211175,77.84608137658132,31.853594371042522,0.45748734297113597,2.2330184490046627,22.308267416551836,Myanmar
2026-01-01,53094014327.34956,1052.1504700235073,34.70423733093672,19.454536407639583,5.407749598414043,53116137.34117147,31.536641027992342,0.7562610005972157,359.4797084078364,204.26102526482347,69.73251617169217,38.785796163637585,22.930675543358472,41.25183528615642,30.730693194316896,0.4766890381737732,2.3521589451249496,24.721774781989122,Myanmar
2027-01-01,53479505266.34255,1088.6609786493327,34.629588372879944,18.154187901469218,4.429038536427645,52803744.226974614,31.33904320988051,0.7563679174781599,357.97088168139555,203.5689025193836,66.825399719763,38.3716949655943,23.902897955790436,41.83133352270042,31.38117822225129,0.4681431092348246,2.224372622188919,25.44774204960659,Myanmar
2028-01-01,60586185958.69417,1124.231968993733,34.27989459901014,17.215362989697006,4.314925515141463,52312508.24912411,31.015830533622687,0.7681676331388929,356.4254390507275,202.40637957368023,62.90334093745125,37.981948343025536,23.94318573115502,63.09400370977435,31.858640051615897,0.4426957700535862,2.1986717472470603,22.56695294021058,Myanmar
2029-01-01,62525449700.13754,1086.5765126475312,33.371351858881106,17.739642531559664,5.251372465823987,51837650.00711083,30.643802432832324,0.789347498720461,354.36299248012426,200.53271351531782,61.409215843316524,37.45772071768492,17.67743451587921,64.66630799991246,31.378672387006894,0.4150898510659585,2.322318428298604,18.90834926770381,Myanmar
2030-01-01,56417594239.054085,1091.7327788889122,33.568046039387,19.978648187152157,5.75075746635813,51588053.47783762,30.37291089042403,0.7925734622641828,354.6007706064263,200.6387527814964,62.141881059609126,37.50472682439922,13.983954760452743,48.953840976934956,30.741214254071323,0.41183346976415536,2.432794780166888,18.177744580214803,Myanmar
2031-01-01,56612343414.20555,1182.3196869055018,34.98589468911111,21.436750026485996,5.151720670577353,51678268.39755494,30.36650748389344,0.7809768972619432,359.8287782185552,204.91089710998386,63.63438516036863,38.82162125631961,17.189575523622942,48.721810845560995,30.604437294501775,0.4739588696017795,2.4339267784030096,20.312630339193127,Myanmar
2032-01-01,65122700594.752174,1243.4550677545772,35.61314180845704,20.83093438687594,3.9446645841756522,51850691.54495785,30.480307852768156,0.7677041317779137,366.71952523334545,210.8315548540249,63.30906257498261,40.58292815752601,24.12885671439559,78.76646864435597,31.338254313481702,0.5233828608812797,2.3129412966757696,20.40278459551203,Myanmar
2033-01-01,70158801201.83446,1238.1860360061646,35.267728327426184,20.952972374756097,3.6208055014276215,51850571.25893676,30.468958650357667,0.7614824177826471,369.6513485206489,213.31955302888764,61.939888923559124,41.36160021261112,27.857729309825295,108.10541588043814,31.977468833042103,0.5037899052510756,2.2652969050063776,17.163305412667125,Myanmar
2034-01-01,67048466044.57243,1216.153650577646,35.379052281087596,22.993335733231888,4.4460062066385015,51935697.84521926,30.47155267155769,0.760898468112398,370.1105245901138,213.25098707912258,63.910182817894544,41.497962957267625,26.22004513106363,103.35040439229834,31.378782564790633,0.5004907892346088,2.3952854275929885,15.89218472462378,Myanmar
2035-01-01,62195477855.427284,1231.512420645641,36.33731035797738,24.530370700117814,4.4241613566407665,52331070.82450865,30.699671520291115,0.7485597073274095,372.99450147569684,215.43510440222042,67.90482140941278,42.22164788577598,27.189526560412876,86.16501674843296,30.816870119977924,0.5526846557819606,2.442671682774868,18.932620968235028,Myanmar
