Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,2.976427506873301,2.8913495619892062,3.0678034258428992
2025-12-31,3.0391734752409576,2.962101726043929,3.1194998561748806
2026-12-31,3.1051888424202114,3.0266107743322808,3.1917470180479284
2027-12-31,3.1744329287082182,3.0877534023436177,3.25946268819293
2028-12-31,3.1828490710858794,3.09641456624193,3.26789352639784
2029-12-31,3.2455950394536375,3.1586642702711267,3.3313423774881064
2030-12-31,3.311610406632969,3.2225886898106113,3.3952375931161356
2031-12-31,3.380854492921278,3.2900661200340457,3.466058918155773
2032-12-31,3.3892706352986695,3.3022196725039756,3.481338399586348
2033-12-31,3.452016603666018,3.3709586893015193,3.538724679557223
2034-12-31,3.5180319708455903,3.429607379123861,3.6103933253125033
