Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,17.16653671349739,14.68223785327213,19.508966093996737
2025-12-31,16.459454032589655,14.174586806094084,18.85751899191292
2026-12-31,15.592278242675093,13.171792305306482,17.760541220957816
2027-12-31,14.565651349381854,12.360395169674767,17.020348166101705
2028-12-31,16.762850816620922,14.408770749627148,19.04020646371291
2029-12-31,16.087215892497852,13.873392491548652,18.536435592786507
2030-12-31,15.249091549023369,12.893531383265397,17.522983727405787
2031-12-31,14.24929425894053,11.793000682992247,16.502113599396118
2032-12-31,16.471329676067118,14.176177845566274,18.846405391235844
2033-12-31,15.818553776672976,13.605944546697119,18.19907070927456
2034-12-31,15.00152388409101,12.69134524117937,17.355673012125674
