Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,12.863279753768047,12.439080643561148,13.344353197362594
2025-12-31,12.970990936527695,12.51298429339105,13.418912373045762
2026-12-31,13.09822461004521,12.628015396792948,13.59238974272013
2027-12-31,13.244924945549746,12.70965791366667,13.735194334934368
2028-12-31,13.400221451842093,12.8694736856202,13.912135346153505
2029-12-31,13.507932634601609,12.91064917253273,14.122441588244152
2030-12-31,13.635166308119953,12.938066984884362,14.343673657217193
2031-12-31,13.781866643624893,13.031614371682329,14.562835777274527
2032-12-31,13.93716314991605,13.052788814867117,14.810956173979923
2033-12-31,14.044874332675539,13.045291781251446,15.048874467498074
2034-12-31,14.172108006193374,13.078694845921698,15.296270659806504
