Year,GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),"Population, total",Urban population (% of total),Population growth (annual %),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Access to electricity (% of population),Fossil fuel energy consumption (% of total),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita),Total greenhouse gas emissions (per capita),Demand (TWh),Country
2024-01-01,43066416661.79899,2355.543131924487,44.033879319307914,29.190121238279918,11.5668982219518,17415989.35462743,26.010372707064533,1.4503696979316227,403.26597116834586,284.5453307127709,87.95686285267294,31.44390922590621,65.52142123742931,134.71044248148814,22.262535006055355,1.211334812388433,3.0025694728165733,21.276070239875615,Cambodia
2025-01-01,41546272653.99141,2205.3681873691767,43.5447624275142,30.182429028356104,13.529362499026838,17510497.870739933,26.32933868804643,1.6593909339348152,335.32867856116417,276.6171240986383,93.23188523354693,32.318985389156765,66.82892935895579,129.9740825759457,25.76128333966801,1.2296626178176653,2.892023275500269,22.152625555185928,Cambodia
2026-01-01,44291800043.31096,2286.0967404256075,42.683909880582604,29.40848388856034,6.373830471092441,17771077.16808919,26.5861311615097,1.5739798693088405,302.67928976667207,270.3622756597737,96.43804630820608,28.00037357161389,74.79452778387079,93.16286894378908,29.41540334251374,1.1000216432618202,2.644715370172798,23.54597459518279,Cambodia
2027-01-01,48160262866.943146,2472.7698091001685,44.183145282851655,28.65793969432147,-0.035719731646608466,17651526.74907258,27.014989621886173,1.3370864649741054,388.13866783741537,256.07734296814203,95.10423278615994,20.173495148803077,70.50878888183202,55.13968159281663,29.351148119726318,1.1754235639702628,2.5493610754177536,27.832499017226496,Cambodia
2028-01-01,46663742530.1143,2346.7224791135054,45.916147633918186,29.211077255994326,2.0762417201812395,17315006.210294303,27.42867238358749,1.4471502213099006,382.2829582748514,204.64914715180396,84.12342980612858,18.88237589541725,79.04480199778989,24.889002714320505,29.19516512105241,1.3966579279907336,2.699408911317822,33.1865209585286,Cambodia
2029-01-01,41903370812.76286,1893.010029322031,49.25423359641651,33.92784928549916,4.610587284203782,16928154.940141298,27.59047610535066,1.8553319105788368,258.78828444196085,156.16409352730537,83.55641365967364,19.26597136766822,100.17102430896485,14.075118677271114,26.817197848757562,1.6008645508255024,2.9557374284364597,34.90788505806124,Cambodia
2030-01-01,39011509699.245316,1629.614523320369,49.95239531809136,35.97801384317303,2.2868245243106875,16672541.59357562,27.483153562572465,1.8916740438465676,105.50393579298475,95.1237404699024,89.4853032192091,15.344036450396267,103.40574305329982,-31.850747812143652,37.237321264868825,1.3785020438428004,2.493321119861175,34.76017353523175,Cambodia
2031-01-01,44518955340.08174,1905.083138085041,50.661916445097795,33.99065046638023,-10.362621847590216,16516578.637920937,27.330359448589533,1.3620857335601464,66.42444680530735,17.925149008995874,82.09468457073923,5.509984587159341,108.88927520994848,-136.11978398470876,50.56019639908218,1.0946099284041384,1.9023827077423532,38.75991710527266,Cambodia
2032-01-01,45085150045.23389,1910.6349043936898,52.08520878682235,32.17740424127571,-19.635197163481802,15599644.761610076,27.31884983561958,1.1986649662711628,142.48477005742225,-40.26890066283329,57.08916811807793,0.0,105.45010387789394,-222.9731735203644,47.826083520046815,1.3571349505819859,2.001989614066396,46.961360226993676,Cambodia
2033-01-01,31079678166.468468,995.604581955957,54.30058665430255,36.34367820404672,-13.380738331079232,14345948.429395027,27.08432476839556,1.9943195315548952,17.89105132341973,-166.11139158857463,15.266171698072327,0.931218865000222,104.14923438125922,-272.4752304152154,45.6079911072092,1.7699150312515521,2.4521006356002495,51.95313400306311,Cambodia
2034-01-01,16425383917.215109,-132.45195868027463,55.313301060967895,43.603862365731324,-9.505032247241541,13555761.078656746,26.25718424997398,2.7622560027166134,-310.4538278718859,-319.3594892608706,8.26824454561745,1.0476436127749196,135.88365345532742,-349.4001405522208,53.67335913849823,1.6984577162378525,2.3382709329452633,49.12374167059469,Cambodia
2035-01-01,15032463338.204216,-334.515715368123,50.355547679171536,41.16392934283744,-25.082643118006327,12962557.746841162,25.146744594373757,2.167428943991783,-493.3221011961606,-463.77143232966546,24.962045373008817,0.0,123.64554101179041,-516.4306976134277,72.99823363402498,0.8852726342809927,1.0549519391508346,48.06429473392466,Cambodia
