country_code,country_name,year,Residential energy consumption (% of total)
,,2029,3.12653493147673
,,2030,3.12653493147673
,,2031,3.12653493147673
,,2032,3.12653493147673
,,2033,3.12653493147673
,,2034,3.12653493147673
,,2035,3.12653493147673
MYS,Malaysia,2000,1.08294121730724
MYS,Malaysia,2001,1.09185113583093
MYS,Malaysia,2002,0.804749761499968
MYS,Malaysia,2003,0.722047829917185
MYS,Malaysia,2004,0.776960828798562
MYS,Malaysia,2005,0.663562344084031
MYS,Malaysia,2006,0.789342073997985
MYS,Malaysia,2007,0.706817748227077
MYS,Malaysia,2008,0.805482309280532
MYS,Malaysia,2009,0.739097656320482
MYS,Malaysia,2010,0.674423607572539
MYS,Malaysia,2011,0.742472353628485
MYS,Malaysia,2012,0.905848220129533
MYS,Malaysia,2013,0.971156809299827
MYS,Malaysia,2014,1.18068772456147
,,2015,1.18068772456147
,,2016,1.18068772456147
,,2017,1.18068772456147
,,2018,1.18068772456147
,,2019,1.18068772456147
,,2020,1.18068772456147
,,2021,1.18068772456147
,,2022,1.18068772456147
,,2023,1.18068772456147
,,2024,1.18068772456147
,,2025,1.18068772456147
,,2026,1.18068772456147
,,2027,1.18068772456147
,,2028,1.18068772456147
,,2029,1.18068772456147
,,2030,1.18068772456147
,,2031,1.18068772456147
,,2032,1.18068772456147
,,2033,1.18068772456147
,,2034,1.18068772456147
,,2035,1.18068772456147
PHL,Philippines,2000,3.37153963835051
PHL,Philippines,2001,3.27831184669822
PHL,Philippines,2002,3.05023041723979
PHL,Philippines,2003,3.15514688483393
PHL,Philippines,2004,3.29625146873323
PHL,Philippines,2005,3.23512836258973
PHL,Philippines,2006,3.66914909543006
PHL,Philippines,2007,3.37589659756276
PHL,Philippines,2008,3.57870509447225
PHL,Philippines,2009,3.73517885564378
PHL,Philippines,2010,3.09187691424461
PHL,Philippines,2011,3.38729634944741
PHL,Philippines,2012,3.32508293603373
PHL,Philippines,2013,3.09709334037404
PHL,Philippines,2014,2.90636149038805
,,2015,2.90636149038805
,,2016,2.90636149038805
,,2017,2.90636149038805
,,2018,2.90636149038805
,,2019,2.90636149038805
,,2020,2.90636149038805
,,2021,2.90636149038805
,,2022,2.90636149038805
,,2023,2.90636149038805
,,2024,2.90636149038805
,,2025,2.90636149038805
,,2026,2.90636149038805
,,2027,2.90636149038805
,,2028,2.90636149038805
,,2029,2.90636149038805
,,2030,2.90636149038805
,,2031,2.90636149038805
,,2032,2.90636149038805
,,2033,2.90636149038805
,,2034,2.90636149038805
,,2035,2.90636149038805
SGP,Singapore,2000,0.0973253324699735
SGP,Singapore,2001,0.160572768415427
SGP,Singapore,2002,0.162589465768811
SGP,Singapore,2003,0.141055209375782
SGP,Singapore,2004,0.11207790333598
SGP,Singapore,2005,0.177019219940105
SGP,Singapore,2006,0.165193582022689
SGP,Singapore,2007,0.181734503815264
SGP,Singapore,2008,0.17118304645282
SGP,Singapore,2009,0.204186387530214
SGP,Singapore,2010,0.186691986980665
SGP,Singapore,2011,0.187056641348586
SGP,Singapore,2012,0.198670670805922
SGP,Singapore,2013,0.198830885025383
SGP,Singapore,2014,0.192789211552613
,,2015,0.192789211552613
,,2016,0.192789211552613
,,2017,0.192789211552613
,,2018,0.192789211552613
,,2019,0.192789211552613
,,2020,0.192789211552613
,,2021,0.192789211552613
,,2022,0.192789211552613
,,2023,0.192789211552613
,,2024,0.192789211552613
,,2025,0.192789211552613
,,2026,0.192789211552613
,,2027,0.192789211552613
,,2028,0.192789211552613
,,2029,0.192789211552613
,,2030,0.192789211552613
,,2031,0.192789211552613
,,2032,0.192789211552613
,,2033,0.192789211552613
,,2034,0.192789211552613
,,2035,0.192789211552613
THA,Thailand,2000,0.657054269135979
THA,Thailand,2001,0.656824896016045
THA,Thailand,2002,0.717918059843698
THA,Thailand,2003,0.644233272305081
THA,Thailand,2004,0.493752956921428
THA,Thailand,2005,0.462170298679137
THA,Thailand,2006,0.638628496740401
THA,Thailand,2007,0.617217608262446
THA,Thailand,2008,0.523067985179519
THA,Thailand,2009,0.528255352151954
THA,Thailand,2010,0.395588160379538
THA,Thailand,2011,1.0122733013208
THA,Thailand,2012,1.1092300159728
THA,Thailand,2013,0.899895081759354
THA,Thailand,2014,1.10807573900785
,,2015,1.10807573900785
,,2016,1.10807573900785
,,2017,1.10807573900785
,,2018,1.10807573900785
,,2019,1.10807573900785
,,2020,1.10807573900785
,,2021,1.10807573900785
,,2022,1.10807573900785
,,2023,1.10807573900785
,,2024,1.10807573900785
,,2025,1.10807573900785
,,2026,1.10807573900785
,,2027,1.10807573900785
,,2028,1.10807573900785
,,2029,1.10807573900785
,,2030,1.10807573900785
,,2031,1.10807573900785
,,2032,1.10807573900785
,,2033,1.10807573900785
,,2034,1.10807573900785
,,2035,1.10807573900785
VNM,Vietnam,2000,3.67304283897901
VNM,Vietnam,2001,4.2984902402924
VNM,Vietnam,2002,3.93104523456482
VNM,Vietnam,2003,3.95839650349543
VNM,Vietnam,2004,3.36959038972869
VNM,Vietnam,2005,3.10158232586681
VNM,Vietnam,2006,3.69547647979851
VNM,Vietnam,2007,3.98684669186419
VNM,Vietnam,2008,4.24710378757124
VNM,Vietnam,2009,4.49472007273737
VNM,Vietnam,2010,3.6903626649197
VNM,Vietnam,2011,5.4489654785319
VNM,Vietnam,2012,6.80280232468185
VNM,Vietnam,2013,6.93720399976552
,,2014,6.93720399976552
,,2015,6.93720399976552
,,2016,6.93720399976552
,,2017,6.93720399976552
,,2018,6.93720399976552
,,2019,6.93720399976552
,,2020,6.93720399976552
,,2021,6.93720399976552
,,2022,6.93720399976552
,,2023,6.93720399976552
,,2024,6.93720399976552
,,2025,6.93720399976552
,,2026,6.93720399976552
,,2027,6.93720399976552
,,2028,6.93720399976552
,,2029,6.93720399976552
,,2030,6.93720399976552
,,2031,6.93720399976552
,,2032,6.93720399976552
,,2033,6.93720399976552
,,2034,6.93720399976552
,,2035,6.93720399976552
