country_code,country_name,year,Fossil fuel electricity production (%)
BRN,Brunei Darussalam,2000,100.0
BRN,Brunei Darussalam,2001,100.0
BRN,Brunei Darussalam,2002,100.0
BRN,Brunei Darussalam,2003,100.0
BRN,Brunei Darussalam,2004,100.0
BRN,Brunei Darussalam,2005,100.0
BRN,Brunei Darussalam,2006,100.0
BRN,Brunei Darussalam,2007,100.0
BRN,Brunei Darussalam,2008,100.0
BRN,Brunei Darussalam,2009,100.0
BRN,Brunei Darussalam,2010,100.0
BRN,Brunei Darussalam,2011,99.9463087248322
BRN,Brunei Darussalam,2012,99.9491094147583
BRN,Brunei Darussalam,2013,99.9545661063153
BRN,Brunei Darussalam,2014,99.9556147359077
BRN,Brunei Darussalam,2015,99.9523809523809
,,2016,99.9523809523809
,,2017,99.9523809523809
,,2018,99.9523809523809
,,2019,99.9523809523809
,,2020,99.9523809523809
,,2021,99.9523809523809
,,2022,99.9523809523809
,,2023,99.9523809523809
,,2024,99.9523809523809
,,2025,99.9523809523809
,,2026,99.9523809523809
,,2027,99.9523809523809
,,2028,99.9523809523809
,,2029,99.9523809523809
,,2030,99.9523809523809
,,2031,99.9523809523809
,,2032,99.9523809523809
,,2033,99.9523809523809
,,2034,99.9523809523809
,,2035,99.9523809523809
IDN,Indonesia,2000,84.0439324939727
IDN,Indonesia,2001,82.525134809489
IDN,Indonesia,2002,85.0467116996405
IDN,Indonesia,2003,86.3614636996123
IDN,Indonesia,2004,86.3934821866964
IDN,Indonesia,2005,86.3944671408072
IDN,Indonesia,2006,87.7412227966815
IDN,Indonesia,2007,87.0961161018917
IDN,Indonesia,2008,86.6841675260839
IDN,Indonesia,2009,86.7669383953972
IDN,Indonesia,2010,84.1459750817354
IDN,Indonesia,2011,87.9989313967626
IDN,Indonesia,2012,88.7556866470029
IDN,Indonesia,2013,87.7205814276456
IDN,Indonesia,2014,88.517000473942
IDN,Indonesia,2015,89.3445705689278
,,2016,89.3445705689278
,,2017,89.3445705689278
,,2018,89.3445705689278
,,2019,89.3445705689278
,,2020,89.3445705689278
,,2021,89.3445705689278
,,2022,89.3445705689278
,,2023,89.3445705689278
,,2024,89.3445705689278
,,2025,89.3445705689278
,,2026,89.3445705689278
,,2027,89.3445705689278
,,2028,89.3445705689278
,,2029,89.3445705689278
,,2030,89.3445705689278
,,2031,89.3445705689278
,,2032,89.3445705689278
,,2033,89.3445705689278
,,2034,89.3445705689278
,,2035,89.3445705689278
KHM,Cambodia,2000,99.7767857142857
KHM,Cambodia,2001,99.803536345776
KHM,Cambodia,2002,95.8791208791209
KHM,Cambodia,2003,93.5779816513761
KHM,Cambodia,2004,94.8466257668712
KHM,Cambodia,2005,93.8796680497925
KHM,Cambodia,2006,94.2324003392706
KHM,Cambodia,2007,95.4423592493298
KHM,Cambodia,2008,95.6140350877193
KHM,Cambodia,2009,94.6287519747235
KHM,Cambodia,2010,94.5
KHM,Cambodia,2011,92.9245283018868
KHM,Cambodia,2012,62.3430962343096
KHM,Cambodia,2013,42.0697412823397
KHM,Cambodia,2014,38.8634879163945
KHM,Cambodia,2015,53.5819877188992
,,2016,53.5819877188992
,,2017,53.5819877188992
,,2018,53.5819877188992
,,2019,53.5819877188992
,,2020,53.5819877188992
,,2021,53.5819877188992
,,2022,53.5819877188992
,,2023,53.5819877188992
,,2024,53.5819877188992
,,2025,53.5819877188992
,,2026,53.5819877188992
,,2027,53.5819877188992
,,2028,53.5819877188992
,,2029,53.5819877188992
,,2030,53.5819877188992
,,2031,53.5819877188992
,,2032,53.5819877188992
,,2033,53.5819877188992
,,2034,53.5819877188992
