country_code,country_name,year,Manufacturing (% of GDP)
MMR,Myanmar,2023,21.865424267653
,,2024,21.865424267653
,,2025,21.865424267653
,,2026,21.865424267653
,,2027,21.865424267653
,,2028,21.865424267653
,,2029,21.865424267653
,,2030,21.865424267653
,,2031,21.865424267653
,,2032,21.865424267653
,,2033,21.865424267653
,,2034,21.865424267653
,,2035,21.865424267653
MYS,Malaysia,2000,30.8635497655731
MYS,Malaysia,2001,29.3364040399457
MYS,Malaysia,2002,29.2463982171795
MYS,Malaysia,2003,29.9286718930962
MYS,Malaysia,2004,30.3781473606048
MYS,Malaysia,2005,27.5496800827112
MYS,Malaysia,2006,27.5660875626692
MYS,Malaysia,2007,26.1225839420447
MYS,Malaysia,2008,24.5607176579228
MYS,Malaysia,2009,23.8001450501293
MYS,Malaysia,2010,23.4337755680919
MYS,Malaysia,2011,23.3202044896916
MYS,Malaysia,2012,23.1381762920437
MYS,Malaysia,2013,22.8407424205833
MYS,Malaysia,2014,22.8739302431305
MYS,Malaysia,2015,22.2932974814824
MYS,Malaysia,2016,21.7969514793711
MYS,Malaysia,2017,21.8461598838126
MYS,Malaysia,2018,21.5281592651946
MYS,Malaysia,2019,21.4089982975331
MYS,Malaysia,2020,22.2320775941863
MYS,Malaysia,2021,23.363165635524
MYS,Malaysia,2022,23.3311324135913
MYS,Malaysia,2023,23.0173409040289
,,2024,23.0173409040289
,,2025,23.0173409040289
,,2026,23.0173409040289
,,2027,23.0173409040289
,,2028,23.0173409040289
,,2029,23.0173409040289
,,2030,23.0173409040289
,,2031,23.0173409040289
,,2032,23.0173409040289
,,2033,23.0173409040289
,,2034,23.0173409040289
,,2035,23.0173409040289
PHL,Philippines,2000,25.2795652869319
PHL,Philippines,2001,25.3115458938417
PHL,Philippines,2002,25.135408678046
PHL,Philippines,2003,24.8368726452881
PHL,Philippines,2004,24.0119978825828
PHL,Philippines,2005,24.2699011657558
PHL,Philippines,2006,23.8291853953244
PHL,Philippines,2007,23.1509115996374
PHL,Philippines,2008,23.2686676777552
PHL,Philippines,2009,21.7386143914197
PHL,Philippines,2010,21.9192017163827
PHL,Philippines,2011,21.7043269521461
PHL,Philippines,2012,21.3285712085069
PHL,Philippines,2013,20.4344987662807
PHL,Philippines,2014,20.5750839902722
PHL,Philippines,2015,19.9280223739769
PHL,Philippines,2016,19.5903031996457
PHL,Philippines,2017,19.5002020560488
PHL,Philippines,2018,19.0982471670238
PHL,Philippines,2019,18.5164544000114
PHL,Philippines,2020,17.6581790478661
PHL,Philippines,2021,17.6400846961045
PHL,Philippines,2022,17.2293794131524
PHL,Philippines,2023,16.2179758176734
,,2024,16.2179758176734
,,2025,16.2179758176734
,,2026,16.2179758176734
,,2027,16.2179758176734
,,2028,16.2179758176734
,,2029,16.2179758176734
,,2030,16.2179758176734
,,2031,16.2179758176734
,,2032,16.2179758176734
,,2033,16.2179758176734
,,2034,16.2179758176734
,,2035,16.2179758176734
SGP,Singapore,2000,25.8614860377559
SGP,Singapore,2001,23.3946978474146
SGP,Singapore,2002,24.7376403229729
SGP,Singapore,2003,24.7654126931969
SGP,Singapore,2004,27.1193675970643
SGP,Singapore,2005,27.0767617982071
SGP,Singapore,2006,26.5780059858028
SGP,Singapore,2007,23.8226519045272
SGP,Singapore,2008,20.5856649738484
SGP,Singapore,2009,20.2733764290735
SGP,Singapore,2010,20.7738330253125
SGP,Singapore,2011,19.5825515079778
SGP,Singapore,2012,19.1168219800662
SGP,Singapore,2013,17.6384096148755
SGP,Singapore,2014,17.9997688921285
SGP,Singapore,2015,18.0893298548734
SGP,Singapore,2016,17.4744213597612
SGP,Singapore,2017,18.5683328115467
SGP,Singapore,2018,20.7284988237868
SGP,Singapore,2019,19.3638513330846
SGP,Singapore,2020,19.6271161695532
SGP,Singapore,2021,20.2841459034003
SGP,Singapore,2022,19.7232543845557
SGP,Singapore,2023,17.6492866555978
,,2024,17.6492866555978
,,2025,17.6492866555978
,,2026,17.6492866555978
,,2027,17.6492866555978
,,2028,17.6492866555978
,,2029,17.6492866555978
,,2030,17.6492866555978
,,2031,17.6492866555978
,,2032,17.6492866555978
,,2033,17.6492866555978
,,2034,17.6492866555978
,,2035,17.6492866555978
THA,Thailand,2000,28.375445282081
THA,Thailand,2001,27.8267674786216
THA,Thailand,2002,28.5150317752876
THA,Thailand,2003,29.5805029456399
THA,Thailand,2004,29.4189680545022
THA,Thailand,2005,29.6150680597619
THA,Thailand,2006,30.1680799710117
THA,Thailand,2007,30.5874496669954
THA,Thailand,2008,30.5547305435118
THA,Thailand,2009,29.4621400654976
THA,Thailand,2010,30.9304788194459
THA,Thailand,2011,28.9958809244545
THA,Thailand,2012,27.9727873518431
THA,Thailand,2013,27.5886907461759
THA,Thailand,2014,27.5735009565918
THA,Thailand,2015,27.3740711959416
THA,Thailand,2016,27.1442393688371
THA,Thailand,2017,27.0148154805347
THA,Thailand,2018,26.7128343918527
THA,Thailand,2019,25.6215964143658
THA,Thailand,2020,25.5553325712421
THA,Thailand,2021,27.1675994932487
THA,Thailand,2022,27.0514900579842
THA,Thailand,2023,24.9114470128899
,,2024,24.9114470128899
,,2025,24.9114470128899
,,2026,24.9114470128899
,,2027,24.9114470128899
,,2028,24.9114470128899
,,2029,24.9114470128899
,,2030,24.9114470128899
,,2031,24.9114470128899
,,2032,24.9114470128899
,,2033,24.9114470128899
,,2034,24.9114470128899
,,2035,24.9114470128899
,,2000,18.8232835631471
,,2001,18.8232835631471
,,2002,18.8232835631471
,,2003,18.8232835631471
,,2004,18.8232835631471
VNM,Vietnam,2005,18.8232835631471
VNM,Vietnam,2006,19.3807256267869
VNM,Vietnam,2007,19.3804144953877
VNM,Vietnam,2008,18.5796576460957
VNM,Vietnam,2009,18.3010354592131
VNM,Vietnam,2010,17.1305705708367
VNM,Vietnam,2011,18.694145538196
VNM,Vietnam,2012,20.2740924828827
VNM,Vietnam,2013,20.6874536915425
VNM,Vietnam,2014,20.371229229791
VNM,Vietnam,2015,20.9600916821922
VNM,Vietnam,2016,21.4882532002034
VNM,Vietnam,2017,22.6271239749306
VNM,Vietnam,2018,23.3671679233065
VNM,Vietnam,2019,23.7867165015145
VNM,Vietnam,2020,23.9472430412931
VNM,Vietnam,2021,24.4593726835113
VNM,Vietnam,2022,24.5795734424262
VNM,Vietnam,2023,23.8827677952544
,,2024,23.8827677952544
,,2025,23.8827677952544
,,2026,23.8827677952544
,,2027,23.8827677952544
,,2028,23.8827677952544
,,2029,23.8827677952544
,,2030,23.8827677952544
,,2031,23.8827677952544
,,2032,23.8827677952544
,,2033,23.8827677952544
,,2034,23.8827677952544
,,2035,23.8827677952544
