Year,Forecast,Lower_Bound,Upper_Bound
2024-12-31,3.555595489102344,1.79545356795801,5.181926894040958
2025-12-31,3.6684109556378752,2.0491728126698776,5.302663827086978
2026-12-31,3.7559820131312773,2.1200874553543807,5.345852674557166
2027-12-31,3.8182436917862517,2.0664355892769164,5.561796203724672
2028-12-31,3.5527570708546854,1.9890341795231572,5.200296241015562
2029-12-31,3.6658573736846,1.9908502748360117,5.253183462264816
2030-12-31,3.753684687194494,2.0789585694267996,5.561484238524717
2031-12-31,3.816176908717431,2.4197171861632163,5.477656278969336
2032-12-31,3.5508982357692145,1.8580702058531504,5.07244369129004
2033-12-31,3.664185081251696,1.9678327740208348,5.38091340758845
2034-12-31,3.7521802183551873,2.079789585053443,5.319263117491155
